0, 0, Header, 1, 11, 120
1, 0, Start_track
1, 0, Title_t, "Untitled Song"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 1000000
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TBlue orchids"
3, 0, Text_t, "@TBob Crosby (1939)"
3, 0, Text_t, "@TSequence & karaoke by H.de Koning"
3, 2820, Text_t, "\\I"
3, 2880, Text_t, " dreamed"
3, 2940, Text_t, " of"
3, 3000, Text_t, " two"
3, 3060, Text_t, " blue"
3, 3120, Text_t, " or"
3, 3180, Text_t, "chids"
3, 3300, Text_t, "/Two"
3, 3360, Text_t, " beau"
3, 3420, Text_t, "ti"
3, 3480, Text_t, "ful"
3, 3540, Text_t, " blue"
3, 3600, Text_t, " or"
3, 3660, Text_t, "chids"
3, 3720, Text_t, "/One"
3, 3840, Text_t, " night,"
3, 4110, Text_t, " while"
3, 4140, Text_t, " in"
3, 4170, Text_t, " my"
3, 4200, Text_t, " lone"
3, 4290, Text_t, "ly"
3, 4320, Text_t, " room"
3, 4740, Text_t, "\\I"
3, 4800, Text_t, " dreamed"
3, 4860, Text_t, " of"
3, 4920, Text_t, " two"
3, 4980, Text_t, " blue"
3, 5040, Text_t, " or"
3, 5100, Text_t, "chids"
3, 5220, Text_t, "/So"
3, 5280, Text_t, " full"
3, 5340, Text_t, " of"
3, 5400, Text_t, " love"
3, 5460, Text_t, " and"
3, 5520, Text_t, " light"
3, 5700, Text_t, "/That"
3, 5760, Text_t, " I"
3, 6000, Text_t, " want"
3, 6030, Text_t, "ed"
3, 6060, Text_t, " to"
3, 6090, Text_t, " pos"
3, 6120, Text_t, "sess"
3, 6210, Text_t, " each"
3, 6240, Text_t, " ten"
3, 6360, Text_t, "der"
3, 6420, Text_t, " bloom"
3, 6720, Text_t, "\\Then"
3, 6780, Text_t, " my"
3, 6840, Text_t, " dream"
3, 6900, Text_t, " took"
3, 6960, Text_t, " wings"
3, 7140, Text_t, "/And"
3, 7200, Text_t, " through"
3, 7260, Text_t, " a"
3, 7320, Text_t, " thou"
3, 7380, Text_t, "sand"
3, 7440, Text_t, " springs"
3, 7620, Text_t, "/Blue"
3, 7680, Text_t, " or"
3, 7740, Text_t, "chids"
3, 7950, Text_t, " seemed"
3, 7980, Text_t, " in"
3, 8010, Text_t, " a"
3, 8040, Text_t, " world"
3, 8130, Text_t, " a"
3, 8160, Text_t, "part"
3, 8640, Text_t, "\\But"
3, 8700, Text_t, " when"
3, 8760, Text_t, " I"
3, 8820, Text_t, " met"
3, 8880, Text_t, " you"
3, 9000, Text_t, "/Some"
3, 9060, Text_t, "thing"
3, 9120, Text_t, " pale"
3, 9180, Text_t, " and"
3, 9240, Text_t, " blue"
3, 9540, Text_t, "/Came"
3, 9600, Text_t, " steal"
3, 9660, Text_t, "ing"
3, 9720, Text_t, " from"
3, 9780, Text_t, " the"
3, 9840, Text_t, " mead"
3, 9900, Text_t, "ows"
3, 9960, Text_t, " of"
3, 10050, Text_t, " my"
3, 10080, Text_t, " heart"
3, 10500, Text_t, "\\I"
3, 10560, Text_t, " saw"
3, 10620, Text_t, " my"
3, 10680, Text_t, " two"
3, 10740, Text_t, " blue"
3, 10800, Text_t, " or"
3, 10860, Text_t, "chids"
3, 10980, Text_t, "/My"
3, 11040, Text_t, " beau"
3, 11100, Text_t, "ti"
3, 11160, Text_t, "ful"
3, 11220, Text_t, " blue"
3, 11280, Text_t, " or"
3, 11340, Text_t, "chids"
3, 11400, Text_t, "/Last"
