0, 0, Header, 1, 10, 120
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Copyright_t, "Remixed by RicBNH @RAN Productions Studios"
1, 0, Text_t, "www.ricbnh.com-\012"
1, 0, Text_t, "Remixed by RicBNH 06.21.2004-\012"
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 1, System_exclusive, 25, 65, 16, 66, 18, 64, 1, 16, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 23, 247
1, 2, System_exclusive, 54, 18, 39, 61, 79, 81, 91, 117, 2, 77, 120, 87, 85, 94, 115, 117, 25, 43, 0, 79, 73, 51, 18, 12, 35, 85, 90, 113, 42, 27, 26, 60, 64, 127, 96, 79, 99, 127, 127, 34, 34, 62, 73, 91, 103, 75, 41, 25, 41, 75, 87, 98, 111, 114, 247
1, 2, Time_signature, 4, 2, 24, 8
1, 2, Key_signature, -2, "major"
1, 2, Tempo, 600000
1, 484, Tempo, 600000
1, 966, Tempo, 750000
1, 1446, Marker_t, "Remixed by RicBNH  www.ricbnh.com"
1, 2406, Marker_t, "intro"
1, 4806, Marker_t, "verse 1"
1, 8646, Marker_t, "refrain"
1, 11526, Marker_t, "chorus"
1, 15366, Marker_t, "intro"
1, 17286, Marker_t, "verse 2"
1, 21126, Marker_t, "refrain"
1, 24006, Marker_t, "chorus"
1, 28326, Marker_t, "bridge"
1, 32646, Marker_t, "intro"
1, 34566, Marker_t, "chorus up"
1, 38406, Marker_t, "tag"
1, 40326, Marker_t, "out"
1, 43686, Marker_t, "tag"
1, 43686, End_track
2, 0, Start_track
2, 0, Title_t, "Vocal"
2, 0, Control_c, 0, 11, 0
2, 9, Control_c, 0, 1, 0
2, 19, Pitch_bend_c, 0, 8192
2, 29, Control_c, 0, 121, 0
2, 39, Control_c, 0, 94, 22
2, 59, Control_c, 0, 64, 0
2, 120, Control_c, 0, 0, 0
2, 120, Control_c, 0, 7, 0
2, 120, Control_c, 0, 32, 0
2, 120, Program_c, 0, 57
2, 120, Control_c, 0, 7, 0
2, 120, Control_c, 0, 10, 64
2, 120, Control_c, 0, 91, 100
2, 120, Control_c, 0, 93, 70
2, 2600, Lyric_t, "Remixed "
2, 2600, Lyric_t, "\015"
2, 4920, Note_on_c, 0, 56, 97
2, 4920, Control_c, 0, 119, 54
2, 4920, Lyric_t, "Back "
2, 4935, Control_c, 0, 119, 73
2, 4942, Control_c, 0, 119, 0
2, 4950, Note_on_c, 0, 56, 0
2, 4950, Control_c, 0, 119, 123
2, 4965, Control_c, 0, 119, 4
2, 4972, Control_c, 0, 119, 0
2, 4980, Note_on_c, 0, 56, 91
2, 4980, Control_c, 0, 119, 63
2, 4980, Lyric_t, "when "
2, 4995, Control_c, 0, 119, 64
2, 5002, Control_c, 0, 119, 0
2, 5010, Note_on_c, 0, 56, 0
2, 5010, Control_c, 0, 119, 7
2, 5025, Control_c, 0, 119, 120
2, 5032, Control_c, 0, 119, 0
2, 5040, Note_on_c, 0, 56, 97
2, 5040, Control_c, 0, 119, 95
2, 5040, Lyric_t, "I "
2, 5070, Control_c, 0, 119, 32
2, 5085, Control_c, 0, 119, 0
2, 5100, Note_on_c, 0, 56, 0
2, 5100, Note_on_c, 0, 65, 108
2, 5100, Control_c, 0, 119, 47
2, 5100, Lyric_t, "was "
2, 5145, Control_c, 0, 119, 80
2, 5167, Control_c, 0, 119, 0
2, 5190, Note_on_c, 0, 65, 0
2, 5190, Note_on_c, 0, 61, 91
2, 5190, Control_c, 0, 119, 111
2, 5190, Lyric_t, "a "
2, 5205, Control_c, 0, 119, 16
2, 5212, Control_c, 0, 119, 0
2, 5220, Note_on_c, 0, 61, 0
2, 5220, Note_on_c, 0, 63, 83
2, 5220, Control_c, 0, 119, 60
2, 5220, Lyric_t, "child, "
2, 5319, Control_c, 0, 119, 67
2, 5369, Control_c, 0, 119, 0
2, 5419, Control_c, 0, 119, 75
2, 5518, Control_c, 0, 119, 52
2, 5568, Control_c, 0, 119, 0
2, 5618, Control_c, 0, 119, 122
2, 5629, Control_c, 0, 119, 5
2, 5634, Control_c, 0, 119, 0
2, 5640, Note_on_c, 0, 63, 0
2, 5640, Control_c, 0, 119, 117
2, 5739, Control_c, 0, 119, 10
2, 5789, Control_c, 0, 119, 0
2, 5839, Control_c, 0, 119, 81
2, 5889, Control_c, 0, 119, 46
2, 5914, Control_c, 0, 119, 0
2, 5940, Note_on_c, 0, 61, 87
2, 5940, Control_c, 0, 119, 34
2, 5940, Lyric_t, "be"
2, 5955, Control_c, 0, 119, 93
2, 5962, Control_c, 0, 119, 0
2, 5970, Note_on_c, 0, 61, 0
2, 5970, Control_c, 0, 119, 103
2, 5985, Control_c, 0, 119, 24
2, 5992, Control_c, 0, 119, 0
2, 6000, Note_on_c, 0, 61, 110
2, 6000, Control_c, 0, 119, 63
2, 6000, Lyric_t, "fore "
2, 6015, Control_c, 0, 119, 64
2, 6022, Control_c, 0, 119, 0
2, 6030, Note_on_c, 0, 61, 0
2, 6030, Control_c, 0, 119, 117
2, 6045, Control_c, 0, 119, 10
2, 6052, Control_c, 0, 119, 0
2, 6060, Note_on_c, 0, 61, 116
2, 6060, Control_c, 0, 119, 61
2, 6060, Lyric_t, "life "
2, 6075, Control_c, 0, 119, 66
2, 6082, Control_c, 0, 119, 0
2, 6090, Note_on_c, 0, 61, 0
2, 6090, Control_c, 0, 119, 66
2, 6105, Control_c, 0, 119, 61
2, 6112, Control_c, 0, 119, 0
2, 6120, Note_on_c, 0, 61, 107
2, 6120, Control_c, 0, 119, 77
2, 6120, Lyric_t, "re"
2, 6135, Control_c, 0, 119, 50
2, 6142, Control_c, 0, 119, 0
2, 6150, Note_on_c, 0, 61, 0
2, 6150, Control_c, 0, 119, 45
2, 6165, Control_c, 0, 119, 82
2, 6172, Control_c, 0, 119, 0
2, 6180, Note_on_c, 0, 61, 113
2, 6180, Control_c, 0, 119, 29
2, 6180, Lyric_t, "moved "
2, 6240, Control_c, 0, 119, 98
2, 6270, Control_c, 0, 119, 0
2, 6300, Note_on_c, 0, 61, 0
2, 6300, Note_on_c, 0, 61, 101
2, 6300, Control_c, 0, 119, 24
2, 6300, Lyric_t, "all "
2, 6315, Control_c, 0, 119, 103
2, 6322, Control_c, 0, 119, 0
2, 6330, Note_on_c, 0, 61, 0
2, 6330, Control_c, 0, 119, 120
2, 6345, Control_c, 0, 119, 7
2, 6352, Control_c, 0, 119, 0
2, 6360, Note_on_c, 0, 61, 119
2, 6360, Control_c, 0, 119, 59
2, 6360, Lyric_t, "the "
2, 6375, Control_c, 0, 119, 68
2, 6382, Control_c, 0, 119, 0
2, 6390, Note_on_c, 0, 61, 0
2, 6404, Pitch_bend_c, 0, 5617
2, 6407, Pitch_bend_c, 0, 235
2, 6410, Pitch_bend_c, 0, 0
2, 6420, Note_on_c, 0, 60, 104
2, 6420, Pitch_bend_c, 0, 586
2, 6420, Lyric_t, "in"
2, 6423, Pitch_bend_c, 0, 2458
2, 6426, Pitch_bend_c, 0, 4798
2, 6429, Pitch_bend_c, 0, 7255
2, 6431, Pitch_bend_c, 0, 8192
2, 6431, Control_c, 0, 119, 99
2, 6485, Control_c, 0, 119, 28
2, 6512, Control_c, 0, 119, 0
2, 6540, Note_on_c, 0, 60, 0
2, 6540, Note_on_c, 0, 58, 85
2, 6540, Control_c, 0, 119, 56
2, 6540, Lyric_t, "no"
2, 6555, Control_c, 0, 119, 71
2, 6562, Control_c, 0, 119, 0
2, 6570, Note_on_c, 0, 58, 0
2, 6570, Control_c, 0, 119, 123
2, 6585, Control_c, 0, 119, 4
2, 6592, Control_c, 0, 119, 0
2, 6600, Note_on_c, 0, 58, 94
2, 6600, Lyric_t, "cence "
2, 6600, Lyric_t, "\015"
2, 6604, Pitch_bend_c, 0, 8543
2, 6607, Pitch_bend_c, 0, 10766
2, 6612, Pitch_bend_c, 0, 8894
2, 6615, Pitch_bend_c, 0, 8192
2, 6615, Control_c, 0, 119, 28
2, 6635, Control_c, 0, 119, 99
2, 6645, Control_c, 0, 119, 0
2, 6656, Pitch_bend_c, 0, 6787
2, 6659, Pitch_bend_c, 0, 703
2, 6661, Pitch_bend_c, 0, 0
2, 6661, Control_c, 0, 119, 5
2, 6735, Control_c, 0, 119, 122
2, 6772, Control_c, 0, 119, 0
2, 6810, Note_on_c, 0, 58, 0
2, 6822, Pitch_bend_c, 0, 703
2, 6826, Pitch_bend_c, 0, 3862
2, 6828, Pitch_bend_c, 0, 8192
2, 6828, Control_c, 0, 119, 96
2, 6864, Control_c, 0, 119, 31
2, 6882, Control_c, 0, 119, 0
2, 6900, Note_on_c, 0, 56, 85
2, 6900, Control_c, 0, 119, 24
2, 6900, Lyric_t, "My "
2, 6915, Control_c, 0, 119, 103
2, 6922, Control_c, 0, 119, 0
2, 6930, Note_on_c, 0, 56, 0
2, 6930, Control_c, 0, 119, 110
2, 6945, Control_c, 0, 119, 17
2, 6952, Control_c, 0, 119, 0
2, 6960, Note_on_c, 0, 56, 97
2, 6960, Control_c, 0, 119, 9
2, 6960, Lyric_t, "fa"
2, 7005, Control_c, 0, 119, 118
2, 7027, Control_c, 0, 119, 0
2, 7050, Note_on_c, 0, 56, 0
2, 7050, Note_on_c, 0, 61, 123
2, 7050, Control_c, 0, 119, 2
2, 7050, Lyric_t, "ther "
2, 7080, Control_c, 0, 119, 125
2, 7095, Control_c, 0, 119, 0
2, 7110, Note_on_c, 0, 61, 0
2, 7110, Note_on_c, 0, 56, 83
2, 7110, Control_c, 0, 119, 109
2, 7110, Lyric_t, "would "
2, 7122, Control_c, 0, 119, 18
2, 7128, Control_c, 0, 119, 0
2, 7135, Pitch_bend_c, 0, 5851
2, 7139, Pitch_bend_c, 0, 1054
2, 7140, Note_on_c, 0, 56, 0
2, 7140, Note_on_c, 0, 63, 100
2, 7140, Lyric_t, "lift "
2, 7141, Pitch_bend_c, 0, 0
2, 7156, Pitch_bend_c, 0, 1873
2, 7159, Pitch_bend_c, 0, 4681
2, 7161, Pitch_bend_c, 0, 7606
2, 7164, Pitch_bend_c, 0, 8192
2, 7164, Control_c, 0, 119, 51
2, 7212, Control_c, 0, 119, 76
2, 7236, Control_c, 0, 119, 0
2, 7260, Note_on_c, 0, 63, 0
2, 7260, Note_on_c, 0, 65, 88
2, 7260, Control_c, 0, 119, 113
2, 7260, Lyric_t, "me "
2, 7275, Control_c, 0, 119, 14
2, 7282, Control_c, 0, 119, 0
2, 7290, Note_on_c, 0, 65, 0
2, 7290, Control_c, 0, 119, 75
2, 7298, Control_c, 0, 119, 52
2, 7302, Control_c, 0, 119, 0
2, 7307, Pitch_bend_c, 0, 4096
2, 7309, Pitch_bend_c, 0, 0
2, 7320, Note_on_c, 0, 65, 92
2, 7320, Pitch_bend_c, 0, 586
2, 7320, Lyric_t, "high "
2, 7322, Pitch_bend_c, 0, 3160
2, 7325, Pitch_bend_c, 0, 5968
2, 7328, Pitch_bend_c, 0, 8192
2, 7328, Control_c, 0, 119, 2
2, 7351, Control_c, 0, 119, 125
2, 7362, Control_c, 0, 119, 0
2, 7374, Pitch_bend_c, 0, 6787
2, 7377, Pitch_bend_c, 0, 352
2, 7379, Pitch_bend_c, 0, 0
2, 7379, Control_c, 0, 119, 92
2, 7478, Control_c, 0, 119, 35
2, 7528, Control_c, 0, 119, 0
2, 7578, Control_c, 0, 119, 26
2, 7627, Control_c, 0, 119, 101
2, 7651, Control_c, 0, 119, 0
2, 7676, Pitch_bend_c, 0, 1288
2, 7678, Pitch_bend_c, 0, 5851
2, 7680, Note_on_c, 0, 65, 0
2, 7680, Pitch_bend_c, 0, 8192
