0, 0, Header, 1, 11, 96
1, 0, Start_track
1, 0, Title_t, "Sitting On the Dock Of The Bay"
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 582524
1, 0, Marker_t, "(C) Copyright 1994 Heavenly Music/BCK Products"
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TSittin on the dock of the bay"
3, 0, Text_t, "@TOtis Redding"
3, 2256, Text_t, "@TKar par Réjean Beaulieu"
3, 2256, Text_t, "\\A"
3, 2304, Text_t, " Sit"
3, 2352, Text_t, "tin'"
3, 2400, Text_t, " in"
3, 2448, Text_t, " the"
3, 2497, Text_t, " mor"
3, 2549, Text_t, "nin'"
3, 2591, Text_t, " sun,"
3, 2976, Text_t, "/I'll"
3, 3024, Text_t, " be"
3, 3072, Text_t, " sit"
3, 3168, Text_t, "tin'"
3, 3216, Text_t, " when"
3, 3264, Text_t, " the"
3, 3312, Text_t, " e"
3, 3360, Text_t, "ve"
3, 3408, Text_t, "nin'"
3, 3423, Text_t, " co"
3, 3432, Text_t, "mes."
3, 3840, Text_t, "/Wat"
3, 3888, Text_t, "ching"
3, 3936, Text_t, " the"
3, 4032, Text_t, " ships"
3, 4129, Text_t, " roll"
3, 4190, Text_t, " in,"
3, 4512, Text_t, "/then"
3, 4560, Text_t, " I"
3, 4608, Text_t, " watch"
3, 4656, Text_t, " 'em"
3, 4704, Text_t, " roll"
3, 4752, Text_t, " a"
3, 4800, Text_t, "way"
3, 4850, Text_t, " a"
3, 4898, Text_t, "gain."
3, 5376, Text_t, "\\Sit"
3, 5472, Text_t, "tin'"
3, 5520, Text_t, " on"
3, 5568, Text_t, " the"
3, 5616, Text_t, " dock"
3, 5663, Text_t, " of"
3, 5710, Text_t, " the"
3, 5715, Text_t, " bay,"
3, 5956, Text_t, "/watch"
3, 6004, Text_t, "ing"
3, 6054, Text_t, " the"
3, 6097, Text_t, " tide"
3, 6332, Text_t, " roll"
3, 6384, Text_t, " a"
3, 6480, Text_t, "way."
3, 6864, Text_t, "/Sit"
3, 6912, Text_t, "tin'"
3, 6960, Text_t, " on"
3, 7008, Text_t, " the"
3, 7056, Text_t, " dock"
3, 7152, Text_t, " of"
3, 7200, Text_t, " the"
3, 7248, Text_t, " bay,"
3, 7488, Text_t, "/was"
3, 7584, Text_t, "tin'"
3, 7632, Text_t, " time."
3, 8400, Text_t, "\\I"
3, 8448, Text_t, " left"
3, 8544, Text_t, " my"
3, 8592, Text_t, " ho"
3, 8640, Text_t, "me"
3, 8688, Text_t, " in"
3, 8736, Text_t, " Geor"
3, 8784, Text_t, "gi"
3, 8859, Text_t, "a,"
3, 9120, Text_t, "/hea"
3, 9168, Text_t, "ded"
3, 9216, Text_t, " for"
3, 9264, Text_t, " the"
3, 9312, Text_t, " San"
3, 9360, Text_t, " Fran"
3, 9408, Text_t, "cis"
3, 9456, Text_t, "co"
3, 9552, Text_t, " Bay."
3, 9936, Text_t, "/I"
3, 10032, Text_t, " ha"
3, 10080, Text_t, "ve"
3, 10128, Text_t, " noth"
3, 10176, Text_t, "ing"
3, 10224, Text_t, " to"
3, 10272, Text_t, " li"
3, 10320, Text_t, "ve"
3, 10416, Text_t, " for,"
3, 10656, Text_t, "/it"
3, 10704, Text_t, " looks"
3, 10752, Text_t, " li"
3, 10800, Text_t, "ke"
3, 10848, Text_t, " no"
3, 10900, Text_t, "thin's"
3, 10945, Text_t, " gon"
3, 10954, Text_t, "na"
3, 10998, Text_t, " co"
3, 11042, Text_t, "me"
3, 11094, Text_t, " my"
3, 11137, Text_t, " way."
3, 11473, Text_t, "\\Gon'"
3, 11521, Text_t, " sit"
3, 11616, Text_t, " on"
3, 11664, Text_t, " the"
3, 11712, Text_t, " dock"
3, 11760, Text_t, " of"
3, 11808, Text_t, " the"
3, 11856, Text_t, " bay,"
3, 12096, Text_t, "/watch"
3, 12144, Text_t, "ing"
3, 12192, Text_t, " the"
3, 12240, Text_t, " tide"
3, 12480, Text_t, " roll"
3, 12528, Text_t, " a"
3, 12576, Text_t, "way."
3, 13056, Text_t, "/Sit"
3, 13104, Text_t, "tin'"
3, 13152, Text_t, " on"
3, 13200, Text_t, " the"
3, 13248, Text_t, " dock"
3, 13296, Text_t, " of"
3, 13344, Text_t, " the"
3, 13392, Text_t, " bay,"
3, 13632, Text_t, "/was"
3, 13728, Text_t, "tin'"
3, 13776, Text_t, " ti"
3, 14160, Text_t, "me."
3, 14737, Text_t, "\\Look"
3, 14773, Text_t, " li"
3, 14815, Text_t, "ke"
3, 14932, Text_t, " no"
3, 14981, Text_t, "thing's"
3, 15003, Text_t, " gon"
3, 15074, Text_t, "na"
3, 15165, Text_t, " change."
3, 15487, Text_t, "/Ev'"
3, 15494, Text_t, "ry"
3, 15525, Text_t, "thing"
3, 15674, Text_t, " still"
3, 15697, Text_t, " re"
3, 15721, Text_t, "mains"
3, 15792, Text_t, " the"
3, 15840, Text_t, " same."
3, 16260, Text_t, "/I"
3, 16298, Text_t, " can't"
3, 16340, Text_t, " do"
3, 16356, Text_t, " what"
3, 16469, Text_t, " ten"
3, 16515, Text_t, " peo"
3, 16567, Text_t, "ple"
3, 16609, Text_t, " tell"
3, 16630, Text_t, " me"
3, 16680, Text_t, " to"
3, 16704, Text_t, " do,"
3, 16848, Text_t, "/so"
3, 16900, Text_t, " I"
3, 16951, Text_t, " guess"
3, 17136, Text_t, " I'll"
3, 17232, Text_t, " re"
3, 17328, Text_t, "main"
3, 17376, Text_t, " the"
3, 17424, Text_t, " sa"
3, 17472, Text_t, "me."
3, 17664, Text_t, "\\Sit"
3, 17760, Text_t, "tin'"
3, 17808, Text_t, " here"
3, 17856, Text_t, " res"
3, 17904, Text_t, "tin'"
3, 17956, Text_t, " my"
3, 17999, Text_t, " bo"
3, 18009, Text_t, "nes,"
3, 18336, Text_t, "/and"
3, 18384, Text_t, " this"
3, 18432, Text_t, " lone"
3, 18480, Text_t, "li"
3, 18528, Text_t, "ness"
3, 18576, Text_t, " won't"
3, 18624, Text_t, " leave"
3, 18672, Text_t, " me"
3, 18718, Text_t, " a"
3, 18762, Text_t, "lone."
3, 19200, Text_t, "/Two"
3, 19296, Text_t, " thou"
3, 19344, Text_t, "sand"
3, 19392, Text_t, " miles"
3, 19440, Text_t, " I"
3, 19488, Text_t, " roa"
3, 19536, Text_t, "med"
3, 19830, Text_t, "/Ah!"
3, 19873, Text_t, " just"
3, 19921, Text_t, " to"
3, 19968, Text_t, " make"
3, 20019, Text_t, " this"
