0, 0, Header, 1, 8, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 18, 22, 52, 100, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 26, 21, 2, 15, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 28, 22, 52, 90, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 34, 16, 71, 71, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 35, 4, 0, 25, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 35, 16, 64, 77, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 36, 16, 67, 73, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 37, 16, 71, 68, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 43, 16, 76, 57, 247
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 44, 16, 76, 56, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 714286
1, 2160, Marker_t, "intro"
1, 14877, Tempo, 857143
1, 14882, Tempo, 869565
1, 14887, Tempo, 882353
1, 14892, Tempo, 895522
1, 14895, Tempo, 923077
1, 14900, Tempo, 937500
1, 14905, Tempo, 952381
1, 14907, Tempo, 967742
1, 14912, Tempo, 983607
1, 14920, Tempo, 1000000
1, 14925, Tempo, 1016949
1, 14935, Tempo, 1034483
1, 15040, Tempo, 923077
1, 15080, Tempo, 923077
1, 15117, Tempo, 909091
1, 15122, Tempo, 845070
1, 15142, Tempo, 810811
1, 15342, Tempo, 923077
1, 15345, Tempo, 937500
1, 15350, Tempo, 952381
1, 15355, Tempo, 967742
1, 15430, Tempo, 983607
1, 15480, Tempo, 789474
1, 15882, Tempo, 923077
1, 15885, Tempo, 937500
1, 15887, Tempo, 952381
1, 15890, Tempo, 967742
1, 15892, Tempo, 983607
1, 15897, Tempo, 1000000
1, 15902, Tempo, 1016949
1, 15905, Tempo, 1034483
1, 15982, Tempo, 789474
1, 16022, Tempo, 1052632
1, 16057, Tempo, 1071429
1, 16135, Tempo, 1000000
1, 16140, Tempo, 769231
1, 16142, Tempo, 779221
1, 16145, Tempo, 789474
1, 16147, Tempo, 800000
1, 16197, Tempo, 1034483
1, 16200, Tempo, 1052632
1, 16202, Tempo, 1071429
1, 16205, Tempo, 1090909
1, 16207, Tempo, 1200000
1, 16212, Tempo, 1224490
1, 16222, Tempo, 1250000
1, 16237, Tempo, 1276596
1, 16247, Tempo, 1304348
1, 16255, Tempo, 1333333
1, 16260, Tempo, 1363636
1, 16275, Tempo, 1395349
1, 16280, Tempo, 1428571
1, 16285, Tempo, 1463415
1, 16290, Tempo, 1500000
1, 16307, Tempo, 1578947
1, 16332, Tempo, 1621622
1, 16347, Tempo, 1666667
1, 16362, Tempo, 1714286
1, 16370, Tempo, 1764706
1, 16390, Tempo, 1818182
1, 16397, Tempo, 1875000
1, 16402, Tempo, 1935484
1, 16417, Tempo, 2000000
1, 16442, Tempo, 2142857
1, 16467, Tempo, 2222222
1, 16560, Tempo, 1250000
1, 16562, Tempo, 1200000
1, 16565, Tempo, 1153846
1, 16567, Tempo, 1111111
1, 16570, Tempo, 1052632
1, 16572, Tempo, 1016949
1, 16575, Tempo, 983607
1, 16580, Tempo, 967742
1, 16582, Tempo, 952381
1, 16585, Tempo, 937500
1, 16587, Tempo, 909091
1, 16590, Tempo, 779221
1, 16597, Tempo, 769231
1, 16597, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "text"
2, 0, Program_c, 0, 73
2, 0, Control_c, 0, 7, 0
2, 0, Control_c, 0, 7, 0
2, 0, Lyric_t, "HAPPY "
2, 0, Note_on_c, 0, 62, 71
2, 29, Note_on_c, 0, 62, 0
2, 30, Lyric_t, "DAYS "
2, 30, Lyric_t, ""
2, 30, Lyric_t, "\015"
2, 30, Note_on_c, 0, 62, 78
2, 59, Note_on_c, 0, 62, 0
2, 60, Lyric_t, "ARE "
2, 60, Note_on_c, 0, 62, 91
2, 89, Note_on_c, 0, 62, 0
2, 90, Lyric_t, "HERE "
2, 90, Note_on_c, 0, 62, 104
2, 119, Note_on_c, 0, 62, 0
2, 120, Lyric_t, "AGAIN "
2, 120, Lyric_t, ""
2, 120, Lyric_t, "\015"
2, 120, Note_on_c, 0, 62, 114
2, 120, Program_c, 0, 4
2, 149, Note_on_c, 0, 62, 0
2, 150, Lyric_t, "BARBRA "
2, 150, Note_on_c, 0, 64, 98
2, 179, Note_on_c, 0, 64, 0
2, 180, Lyric_t, "STREISAND "
2, 180, Lyric_t, ""
2, 180, Lyric_t, "\015"
2, 180, Note_on_c, 0, 64, 120
2, 209, Note_on_c, 0, 64, 0
2, 210, Lyric_t, "Yellen/Ager "
2, 210, Lyric_t, ""
2, 210, Lyric_t, "\015"
2, 210, Note_on_c, 0, 64, 107
2, 220, Note_on_c, 0, 64, 0
2, 1680, Program_c, 0, 0
2, 2160, Lyric_t, "Hap"
2, 2160, Note_on_c, 0, 77, 89
2, 2170, Note_on_c, 0, 77, 0
2, 2360, Lyric_t, "py "
2, 2360, Note_on_c, 0, 77, 98
2, 2370, Note_on_c, 0, 77, 0
2, 2400, Lyric_t, "Days "
2, 2400, Lyric_t, ""
2, 2400, Lyric_t, "\015"
2, 2400, Note_on_c, 0, 77, 98
2, 2410, Note_on_c, 0, 77, 0
2, 2600, Lyric_t, "Are "
2, 2600, Note_on_c, 0, 77, 89
2, 2610, Note_on_c, 0, 77, 0
2, 2760, Lyric_t, "Here "
2, 2760, Note_on_c, 0, 77, 98
2, 2770, Note_on_c, 0, 77, 0
2, 2840, Lyric_t, "A"
2, 2840, Note_on_c, 0, 77, 93
2, 2850, Note_on_c, 0, 77, 0
2, 2880, Lyric_t, "gain "
2, 2880, Lyric_t, ""
2, 2880, Lyric_t, "\015"
2, 2880, Note_on_c, 0, 77, 98
2, 2890, Note_on_c, 0, 77, 0
2, 3080, Lyric_t, "The "
2, 3080, Note_on_c, 0, 77, 98
2, 3090, Note_on_c, 0, 77, 0
2, 3240, Lyric_t, "skies "
2, 3240, Note_on_c, 0, 77, 102
2, 3250, Note_on_c, 0, 77, 0
2, 3320, Lyric_t, "a"
2, 3320, Note_on_c, 0, 77, 89
2, 3330, Note_on_c, 0, 77, 0
2, 3360, Lyric_t, "bove "
2, 3360, Lyric_t, ""
2, 3360, Lyric_t, "\015"
2, 3360, Note_on_c, 0, 77, 93
2, 3370, Note_on_c, 0, 77, 0
2, 3520, Lyric_t, "are "
2, 3520, Note_on_c, 0, 77, 102
2, 3530, Note_on_c, 0, 77, 0
