0, 0, Header, 1, 28, 480
1, 0, Start_track
1, 0, Tempo, 535714
1, 0, Time_signature, 4, 2, 24, 8
1, 236209, End_track
2, 0, Start_track
2, 0, Channel_prefix, 9
2, 0, Title_t, "drummix"
2, 236209, End_track
3, 0, Start_track
3, 0, Channel_prefix, 1
3, 0, Title_t, "bass"
3, 236209, End_track
4, 0, Start_track
4, 0, Channel_prefix, 2
4, 0, Title_t, "ac piano"
4, 236209, End_track
5, 0, Start_track
5, 0, Channel_prefix, 3
5, 0, Title_t, "Vocal"
5, 236209, End_track
6, 0, Start_track
6, 0, Channel_prefix, 4
6, 0, Title_t, "back voc"
6, 236209, End_track
7, 0, Start_track
7, 0, Channel_prefix, 5
7, 0, Title_t, "synth 1"
7, 236209, End_track
8, 0, Start_track
8, 0, Channel_prefix, 6
8, 0, Title_t, "organ"
8, 236209, End_track
9, 0, Start_track
9, 0, Channel_prefix, 7
9, 0, Title_t, "pad"
9, 236209, End_track
10, 0, Start_track
10, 0, Channel_prefix, 8
10, 0, Title_t, "el piano"
10, 236209, End_track
11, 0, Start_track
11, 0, Channel_prefix, 10
11, 0, Title_t, "synth 2"
11, 236209, End_track
12, 0, Start_track
12, 0, Channel_prefix, 11
12, 0, Title_t, "bells"
12, 236209, End_track
13, 0, Start_track
13, 0, Channel_prefix, 12
13, 0, Title_t, "rev cymbal"
13, 236209, End_track
14, 0, Start_track
14, 0, System_exclusive, 5, 126, 127, 9, 1, 247
14, 0, Title_t, "sysex"
14, 250, System_exclusive, 8, 67, 16, 76, 0, 0, 126, 0, 247
14, 236159, System_exclusive, 5, 126, 127, 9, 2, 247
14, 236209, End_track
15, 0, Start_track
15, 0, Title_t, "Soft karaoke"
15, 0, Text_t, ""
15, 0, End_track
16, 0, Start_track
16, 0, Title_t, "Words"
16, 0, Text_t, ""
16, 0, Text_t, ""
16, 0, Text_t, "@TAnastacia"
16, 240, Text_t, ""
16, 240, Text_t, "/Anastacia"
16, 480, Text_t, ""
16, 9120, Text_t, "\\whoo "
16, 18000, Text_t, "your "
16, 18240, Text_t, "/love "
16, 18480, Text_t, "is "
16, 18720, Text_t, "like "
16, 18960, Text_t, "a "
16, 19200, Text_t, "gen"
16, 19440, Text_t, "tle "
16, 19680, Text_t, "breeze "
16, 20640, Text_t, "up"
16, 20880, Text_t, "on "
16, 21840, Text_t, "a "
16, 22080, Text_t, "brand"
16, 22560, Text_t, "new "
16, 23040, Text_t, "day "
16, 25680, Text_t, "your "
16, 25920, Text_t, "/touch "
16, 26160, Text_t, "and "
16, 26400, Text_t, "what "
16, 26640, Text_t, "it "
16, 26880, Text_t, "does "
16, 27120, Text_t, "to "
16, 27360, Text_t, "me "
16, 28320, Text_t, "like "
16, 28560, Text_t, "a "
16, 28800, Text_t, "flow"
16, 29520, Text_t, "er "
16, 29760, Text_t, "needs "
16, 30000, Text_t, "its "
16, 30240, Text_t, "rain "
16, 31680, Text_t, "we "
16, 32040, Text_t, "\\are "
16, 32400, Text_t, "like "
16, 32640, Text_t, "one "
16, 33600, Text_t, "of "
16, 33840, Text_t, "a "
16, 34080, Text_t, "kind "
16, 36000, Text_t, "true "
16, 36240, Text_t, "love "
16, 36960, Text_t, "is "
16, 37200, Text_t, "hard "
16, 37680, Text_t, "to "
16, 37920, Text_t, "find "
16, 39360, Text_t, "/I "
16, 39720, Text_t, "can't "
16, 40080, Text_t, "go "
16, 40320, Text_t, "on "
16, 41520, Text_t, "an"
16, 41760, Text_t, "oth"
16, 42000, Text_t, "er "
16, 42240, Text_t, "day "
16, 43920, Text_t, "just "
16, 44160, Text_t, "/hear "
16, 44640, Text_t, "me "
16, 44880, Text_t, "when "
16, 45600, Text_t, "I "
16, 45840, Text_t, "say "
16, 47040, Text_t, "I "
16, 47400, Text_t, "\\ask "
16, 47760, Text_t, "of "
16, 48000, Text_t, "you "
16, 49200, Text_t, "would "
16, 49440, Text_t, "you "
16, 49680, Text_t, "love "
16, 50160, Text_t, "me "
16, 51600, Text_t, "/if "
16, 51840, Text_t, "noth"
16, 52320, Text_t, "ing "
16, 52560, Text_t, "else "
16, 53040, Text_t, "went "
16, 53280, Text_t, "right "
16, 54480, Text_t, "and "
16, 54720, Text_t, "/I "
16, 55080, Text_t, "ask "
16, 55440, Text_t, "of "
16, 55680, Text_t, "you "
16, 56880, Text_t, "would "
16, 57120, Text_t, "you "
16, 57360, Text_t, "hold "
16, 57840, Text_t, "me "
16, 59280, Text_t, "for"
16, 59520, Text_t, "\\ev"
16, 60000, Text_t, "er "
16, 60240, Text_t, "in "
16, 60720, Text_t, "your "
16, 61200, Text_t, "life "
16, 62400, Text_t, "/don't "
16, 62760, Text_t, "let "
16, 63120, Text_t, "m e"
16, 63360, Text_t, "fall "
16, 66480, Text_t, "'cause "
16, 66720, Text_t, "I "
16, 66960, Text_t, "can "
16, 67200, Text_t, "on"
16, 67680, Text_t, "ly "
16, 67920, Text_t, "give "
16, 68400, Text_t, "my "
16, 68880, Text_t, "all "
16, 71040, Text_t, "here "
16, 72000, Text_t, "/I "
16, 72720, Text_t, "am "
16, 75840, Text_t, "I "
16, 76320, Text_t, "\\ask "
16, 76560, Text_t, "of "
16, 76800, Text_t, "you "
16, 80640, Text_t, "ah "
16, 82320, Text_t, "ah "
16, 85200, Text_t, "I "
16, 85440, Text_t, "/found "
16, 85680, Text_t, "the "
16, 85920, Text_t, "place "
16, 86160, Text_t, "where "
16, 86400, Text_t, "I "
16, 86640, Text_t, "be"
16, 86880, Text_t, "long "
16, 88080, Text_t, "it's "
16, 88320, Text_t, "right "
16, 89040, Text_t, "here "
16, 89280, Text_t, "next "
16, 90000, Text_t, "to "
16, 90240, Text_t, "you "
16, 92640, Text_t, "and "
16, 93120, Text_t, "/noth"
16, 93360, Text_t, "ing "
16, 93600, Text_t, "else "
16, 94080, Text_t, "mat"
16, 94320, Text_t, "ters "
16, 94560, Text_t, "now "
16, 95760, Text_t, "with "
16, 96000, Text_t, "all "
16, 97200, Text_t, "we've "
16, 97440, Text_t, "been "
16, 97680, Text_t, "through "
16, 98880, Text_t, "I "
16, 99240, Text_t, "\\can't "
16, 99600, Text_t, "go "
16, 99840, Text_t, "on "
16, 101040, Text_t, "tryin' "
16, 101280, Text_t, "to "
16, 101520, Text_t, "de"
16, 101760, Text_t, "ny "
16, 103440, Text_t, "just "
16, 103680, Text_t, "/what "
16, 104160, Text_t, "I "
16, 104400, Text_t, "feel "
16, 104880, Text_t, "in"
16, 105120, Text_t, "side "
16, 106560, Text_t, "but "
16, 106920, Text_t, "/now "
16, 107280, Text_t, "be"
16, 107520, Text_t, "fore "
16, 108720, Text_t, "I "
16, 109200, Text_t, "let "
16, 109440, Text_t, "go "
16, 111120, Text_t, "you "
16, 111360, Text_t, "got"
16, 112080, Text_t, "ta "
16, 112320, Text_t, "let "
16, 112800, Text_t, "me "
16, 113040, Text_t, "know "
16, 114240, Text_t, "I "
16, 114600, Text_t, "\\ask "
16, 114960, Text_t, "of "
16, 115200, Text_t, "you "
16, 116400, Text_t, "would "
16, 116640, Text_t, "you "
16, 116880, Text_t, "love "
16, 117360, Text_t, "me "
16, 118800, Text_t, "/if "
16, 119040, Text_t, "noth"
16, 119520, Text_t, "ing "
16, 119760, Text_t, "else "
16, 120240, Text_t, "went "
16, 120480, Text_t, "right "
16, 121920, Text_t, "I "
16, 122280, Text_t, "/ask "
16, 122640, Text_t, "of "
16, 122880, Text_t, "you "
16, 124080, Text_t, "would "
16, 124320, Text_t, "you "
16, 124560, Text_t, "hold "
16, 125040, Text_t, "me "
16, 126480, Text_t, "for"
16, 126720, Text_t, "\\ev"
16, 127200, Text_t, "er "
16, 127440, Text_t, "in "
16, 127920, Text_t, "your "
16, 128400, Text_t, "life "
16, 129600, Text_t, "/don't "
16, 129960, Text_t, "let "
16, 130320, Text_t, "m e"
16, 131040, Text_t, "fall "
16, 134160, Text_t, "'cause "
16, 134400, Text_t, "I "
16, 134640, Text_t, "can "
16, 134880, Text_t, "on"
16, 135120, Text_t, "ly "
16, 135360, Text_t, "give "
16, 136080, Text_t, "my "
16, 136320, Text_t, "all "
16, 138240, Text_t, "here "
16, 139200, Text_t, "/I "
16, 139920, Text_t, "am "
16, 142560, Text_t, "I "
16, 142800, Text_t, "\\ask "
16, 143520, Text_t, "of "
16, 143760, Text_t, "you "
16, 147360, Text_t, "yes I "
16, 147600, Text_t, "do "
16, 150240, Text_t, "oh "
16, 151680, Text_t, "yeah "
16, 153120, Text_t, "you "
16, 153360, Text_t, "you "
16, 156720, Text_t, "oh "
16, 157440, Text_t, "oh "
16, 158160, Text_t, "I "
16, 158400, Text_t, "/nev"
16, 158640, Text_t, "er "
16, 158880, Text_t, "real"
16, 159120, Text_t, "ly "
16, 159360, Text_t, "thought "
16, 160080, Text_t, "that "
16, 160800, Text_t, "you'd "
16, 161040, Text_t, "be "
16, 163200, Text_t, "all "
16, 164640, Text_t, "/to "
16, 164880, Text_t, "me "
16, 166560, Text_t, "I'd "
16, 166800, Text_t, "\\give "
16, 167040, Text_t, "eve"
16, 167520, Text_t, "ry"
16, 168000, Text_t, "thing "
16, 168480, Text_t, "and "
16, 168720, Text_t, "all "
16, 169200, Text_t, "I "
16, 169680, Text_t, "am "
16, 170640, Text_t, "to "
16, 170880, Text_t, "you "
16, 172560, Text_t, "/oh "
16, 172800, Text_t, "ba"
16, 173280, Text_t, "by "
16, 173520, Text_t, "ba"
16, 174000, Text_t, "by "
16, 174720, Text_t, "I "
16, 175040, Text_t, "know "
16, 175360, Text_t, "you "
16, 175680, Text_t, "feel "
16, 176000, Text_t, "this "
16, 176320, Text_t, "way "
16, 176640, Text_t, "too "
16, 179040, Text_t, "/ooh "
16, 179520, Text_t, "yeah "
16, 180720, Text_t, "ooh "
16, 181440, Text_t, "ooh "
16, 181680, Text_t, "I "
16, 181920, Text_t, "ask "
16, 182160, Text_t, "of "
16, 182400, Text_t, "you "
16, 184080, Text_t, "when "
16, 184320, Text_t, "noth"
16, 184560, Text_t, "ing "
16, 184800, Text_t, "else "
16, 185040, Text_t, "went "
16, 185280, Text_t, "right "
16, 187680, Text_t, "I "
16, 188160, Text_t, "\\ask "
16, 188880, Text_t, "of "
16, 189120, Text_t, "you "
16, 191760, Text_t, "for"
16, 192000, Text_t, "ev"
16, 192240, Text_t, "er "
16, 192480, Text_t, "in "
16, 192720, Text_t, "your "
16, 192960, Text_t, "life "
16, 193680, Text_t, "/oh "
16, 193920, Text_t, "oh "
16, 197520, Text_t, "'cause "
16, 197760, Text_t, "I "
16, 198000, Text_t, "can "
16, 198240, Text_t, "on"
16, 198480, Text_t, "ly "
16, 198720, Text_t, "give "
16, 199200, Text_t, "my "
16, 199440, Text_t, "all "
16, 201600, Text_t, "I "
16, 202560, Text_t, "/can't "
16, 204000, Text_t, "pre"
16, 204480, Text_t, "tend "
16, 209760, Text_t, "I "
16, 210240, Text_t, "\\ask "
16, 211680, Text_t, "of "
16, 211920, Text_t, "you "
16, 215040, Text_t, "hm "
16, 215520, Text_t, "hm "
16, 217440, Text_t, "I "
16, 218880, Text_t, "ask "
16, 219600, Text_t, "of "
16, 219840, Text_t, "you "
16, 223440, Text_t, "oh "
16, 223680, Text_t, "yeah "
16, 236209, End_track
17, 0, Start_track
17, 375, Control_c, 1, 0, 0
17, 380, Control_c, 1, 32, 0
17, 385, Program_c, 1, 33
17, 390, Control_c, 1, 7, 127
17, 395, Control_c, 1, 10, 64
17, 400, Control_c, 1, 11, 127
17, 405, Control_c, 1, 91, 60
17, 410, Control_c, 1, 93, 0
17, 415, Control_c, 1, 74, 64
17, 420, Control_c, 1, 71, 64
17, 425, Control_c, 1, 73, 64
17, 430, Control_c, 1, 72, 64
17, 435, Control_c, 1, 94, 0
17, 46800, Note_on_c, 1, 26, 123
17, 47036, Note_off_c, 1, 26, 0
17, 47040, Note_on_c, 1, 38, 123
17, 47396, Note_off_c, 1, 38, 0
17, 47400, Note_on_c, 1, 33, 119
17, 47756, Note_off_c, 1, 33, 0
17, 47760, Note_on_c, 1, 26, 109
17, 47996, Note_off_c, 1, 26, 0
17, 48000, Note_on_c, 1, 36, 121
17, 49676, Note_off_c, 1, 36, 0
17, 49680, Note_on_c, 1, 31, 114
17, 49916, Note_off_c, 1, 31, 0
17, 49920, Note_on_c, 1, 36, 117
17, 51356, Note_off_c, 1, 36, 0
17, 51360, Note_on_c, 1, 31, 113
17, 51596, Note_off_c, 1, 31, 0
17, 51600, Note_on_c, 1, 36, 116
17, 51836, Note_off_c, 1, 36, 0
17, 51840, Note_on_c, 1, 35, 121
17, 53239, Note_off_c, 1, 35, 0
17, 53280, Note_on_c, 1, 35, 117
17, 53499, Note_off_c, 1, 35, 0
17, 53520, Note_on_c, 1, 35, 113
17, 53730, Note_off_c, 1, 35, 0
17, 53760, Note_on_c, 1, 28, 117
17, 54678, Note_off_c, 1, 28, 0
17, 54720, Note_on_c, 1, 40, 117
17, 55076, Note_off_c, 1, 40, 0
17, 55080, Note_on_c, 1, 38, 113
17, 55436, Note_off_c, 1, 38, 0
17, 55440, Note_on_c, 1, 35, 109
17, 55676, Note_off_c, 1, 35, 0
17, 55680, Note_on_c, 1, 36, 119
17, 57288, Note_off_c, 1, 36, 0
17, 57360, Note_on_c, 1, 31, 116
17, 57582, Note_off_c, 1, 31, 0
17, 57600, Note_on_c, 1, 36, 117
17, 58781, Note_off_c, 1, 36, 0
17, 58800, Note_on_c, 1, 31, 116
17, 59004, Note_off_c, 1, 31, 0
17, 59040, Note_on_c, 1, 36, 119
17, 59238, Note_off_c, 1, 36, 0
17, 59280, Note_on_c, 1, 36, 114
17, 59506, Note_off_c, 1, 36, 0
17, 59520, Note_on_c, 1, 35, 119
17, 61171, Note_off_c, 1, 35, 0
17, 61200, Note_on_c, 1, 35, 112
17, 61433, Note_off_c, 1, 35, 0
17, 61440, Note_on_c, 1, 31, 116
17, 62366, Note_off_c, 1, 31, 0
17, 62400, Note_on_c, 1, 43, 121
17, 62756, Note_off_c, 1, 43, 0
17, 62760, Note_on_c, 1, 41, 113
17, 63116, Note_off_c, 1, 41, 0
17, 63120, Note_on_c, 1, 38, 111
17, 63356, Note_off_c, 1, 38, 0
17, 63360, Note_on_c, 1, 36, 121
17, 65036, Note_off_c, 1, 36, 0
17, 65040, Note_on_c, 1, 31, 114
17, 65276, Note_off_c, 1, 31, 0
17, 65280, Note_on_c, 1, 36, 117
17, 66716, Note_off_c, 1, 36, 0
17, 66720, Note_on_c, 1, 31, 113
17, 66956, Note_off_c, 1, 31, 0
17, 66960, Note_on_c, 1, 36, 116
17, 67196, Note_off_c, 1, 36, 0
17, 67200, Note_on_c, 1, 35, 117
17, 68593, Note_off_c, 1, 35, 0
17, 68640, Note_on_c, 1, 35, 123
17, 68851, Note_off_c, 1, 35, 0
17, 68880, Note_on_c, 1, 30, 113
17, 69085, Note_off_c, 1, 30, 0
17, 69120, Note_on_c, 1, 28, 114
17, 70528, Note_off_c, 1, 28, 0
17, 70560, Note_on_c, 1, 40, 114
