0, 0, Header, 1, 11, 120
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 500000
1, 480, Tempo, 722892
1, 5280, Tempo, 645161
1, 5760, Key_signature, 1, "major"
1, 9360, Tempo, 666667
1, 9600, Key_signature, 3, "major"
1, 13440, Key_signature, 5, "major"
1, 17280, Key_signature, 3, "major"
1, 17280, Tempo, 666667
1, 20640, Tempo, 674157
1, 21120, Key_signature, 5, "major"
1, 24960, Key_signature, 7, "major"
1, 26520, Tempo, 750000
1, 27360, Key_signature, -1, "major"
1, 27360, Tempo, 845070
1, 32160, Key_signature, 1, "major"
1, 32160, Tempo, 740741
1, 36000, Key_signature, 3, "major"
1, 36000, Tempo, 697674
1, 39840, Key_signature, 5, "major"
1, 43680, Key_signature, 7, "major"
1, 43680, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, End_track
3, 0, Start_track
3, 0, MIDI_port, 0
3, 47254, End_track
4, 0, Start_track
4, 0, MIDI_port, 0
4, 46, Control_c, 3, 121, 0
4, 106, Control_c, 3, 101, 0
4, 106, Control_c, 3, 100, 0
4, 106, Control_c, 3, 6, 12
4, 106, Control_c, 3, 38, 0
4, 137, Program_c, 3, 17
4, 138, Control_c, 3, 7, 65
4, 138, Control_c, 3, 10, 60
4, 365, Control_c, 3, 93, 0
4, 385, Control_c, 3, 91, 107
4, 2075, Note_on_c, 3, 79, 120
4, 2103, Note_on_c, 3, 79, 0
4, 2103, Note_on_c, 3, 77, 118
4, 2126, Note_on_c, 3, 77, 0
4, 2130, Note_on_c, 3, 75, 112
4, 2257, Note_on_c, 3, 75, 0
4, 2350, Note_on_c, 3, 79, 110
4, 2368, Note_on_c, 3, 79, 0
4, 2371, Note_on_c, 3, 80, 106
4, 2386, Note_on_c, 3, 80, 0
4, 2395, Note_on_c, 3, 82, 120
4, 2428, Note_on_c, 3, 82, 0
4, 2471, Note_on_c, 3, 82, 125
4, 2585, Note_on_c, 3, 77, 103
4, 2586, Note_on_c, 3, 82, 0
4, 2615, Note_on_c, 3, 77, 0
4, 2621, Note_on_c, 3, 77, 127
4, 2726, Note_on_c, 3, 77, 0
4, 3024, Note_on_c, 3, 80, 115
4, 3090, Note_on_c, 3, 80, 0
4, 3093, Note_on_c, 3, 72, 84
4, 3129, Note_on_c, 3, 72, 0
4, 3136, Note_on_c, 3, 77, 100
4, 3238, Note_on_c, 3, 77, 0
4, 3290, Note_on_c, 3, 80, 109
4, 3303, Note_on_c, 3, 80, 0
4, 3307, Note_on_c, 3, 79, 94
4, 3323, Note_on_c, 3, 79, 0
4, 3328, Note_on_c, 3, 77, 95
4, 3370, Note_on_c, 3, 77, 0
4, 3393, Note_on_c, 3, 84, 112
4, 3504, Note_on_c, 3, 84, 0
4, 3507, Note_on_c, 3, 79, 96
4, 3547, Note_on_c, 3, 79, 0
4, 3555, Note_on_c, 3, 72, 83
4, 3706, Note_on_c, 3, 72, 0
4, 3982, Note_on_c, 3, 84, 110
4, 4011, Note_on_c, 3, 84, 0
4, 4015, Note_on_c, 3, 82, 87
4, 4036, Note_on_c, 3, 82, 0
4, 4040, Note_on_c, 3, 80, 112
4, 4115, Note_on_c, 3, 80, 0
4, 4236, Note_on_c, 3, 84, 111
4, 4251, Note_on_c, 3, 84, 0
4, 4254, Note_on_c, 3, 82, 101
4, 4269, Note_on_c, 3, 82, 0
4, 4273, Note_on_c, 3, 80, 98
4, 4327, Note_on_c, 3, 80, 0
4, 4346, Note_on_c, 3, 87, 96
4, 4435, Note_on_c, 3, 87, 0
4, 4441, Note_on_c, 3, 82, 96
4, 4477, Note_on_c, 3, 82, 0
4, 4488, Note_on_c, 3, 79, 94
4, 4570, Note_on_c, 3, 79, 0
4, 4711, Note_on_c, 3, 82, 105
