0, 0, Header, 1, 16, 480
1, 0, Start_track
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 535714
1, 190932, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Copyright_t, "Song Galaxy 2015"
2, 0, Marker_t, " Dispositivo GM  2"
2, 0, Marker_t, " Dispositivo GM  3"
2, 0, Marker_t, " Dispositivo GM  4"
2, 0, Marker_t, " Dispositivo GM  5"
2, 0, Marker_t, " Dispositivo GM  6"
2, 0, Marker_t, " Dispositivo GM  7"
2, 0, Marker_t, " Dispositivo GM  8"
2, 0, Marker_t, " Dispositivo GM  9"
2, 0, Marker_t, " Dispositivo GM 10"
2, 0, Marker_t, " Dispositivo GM 11"
2, 0, Marker_t, " Dispositivo GM 12"
2, 0, Marker_t, " Dispositivo GM 13"
2, 0, Marker_t, " Dispositivo GM 14"
2, 0, Lyric_t, "www.songgalaxy.com"
2, 4, Lyric_t, "\015"
2, 5, System_exclusive, 5, 126, 127, 9, 1, 247
2, 50, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
2, 3600, Lyric_t, "All "
2, 3720, Lyric_t, "the "
2, 3840, Lyric_t, "girls "
2, 4080, Lyric_t, "on "
2, 4200, Lyric_t, "the "
2, 4320, Lyric_t, "block"
2, 4324, Lyric_t, "\015"
2, 4560, Lyric_t, "Knock"
2, 4680, Lyric_t, "in' "
2, 4800, Lyric_t, "at "
2, 5040, Lyric_t, "my "
2, 5280, Lyric_t, "door!"
2, 5284, Lyric_t, "\015"
2, 7440, Lyric_t, "Wan"
2, 7560, Lyric_t, "na "
2, 7680, Lyric_t, "know "
2, 7920, Lyric_t, "what "
2, 8040, Lyric_t, "it "
2, 8160, Lyric_t, "is"
2, 8164, Lyric_t, "\015"
2, 8400, Lyric_t, "Make "
2, 8520, Lyric_t, "the "
2, 8640, Lyric_t, "boys "
2, 8880, Lyric_t, "want "
2, 9120, Lyric_t, "more!"
2, 9124, Lyric_t, "\015"
2, 11040, Lyric_t, "Is "
2, 11280, Lyric_t, "your "
2, 11520, Lyric_t, "lov"
2, 11760, Lyric_t, "er "
2, 12960, Lyric_t, "play"
2, 13200, Lyric_t, "in' "
2, 13440, Lyric_t, "on "
2, 13920, Lyric_t, "your "
2, 14400, Lyric_t, "side?"
2, 14404, Lyric_t, "\015"
2, 14880, Lyric_t, "Said "
2, 15120, Lyric_t, "he "
2, 15360, Lyric_t, "loves "
2, 15600, Lyric_t, "you"
2, 15604, Lyric_t, "\015"
2, 16800, Lyric_t, "But "
2, 17040, Lyric_t, "he "
2, 17280, Lyric_t, "ain't "
2, 17760, Lyric_t, "got "
2, 18240, Lyric_t, "time."
2, 18244, Lyric_t, "\015"
2, 18720, Lyric_t, "Here's "
2, 18960, Lyric_t, "the "
2, 19200, Lyric_t, "an"
2, 19440, Lyric_t, "swer."
2, 19444, Lyric_t, "\015"
2, 20640, Lyric_t, "Come "
2, 20880, Lyric_t, "and "
2, 21120, Lyric_t, "get "
2, 21360, Lyric_t, "it"
2, 21364, Lyric_t, "\015"
2, 21840, Lyric_t, "At "
2, 21960, Lyric_t, "a "
2, 22080, Lyric_t, "knocked "
2, 22440, Lyric_t, "down "
2, 22800, Lyric_t, "price."
2, 22804, Lyric_t, "\015"
2, 24480, Lyric_t, "Hey!"
2, 24484, Lyric_t, "\015"
2, 26400, Lyric_t, "Full "
2, 26640, Lyric_t, "of "
2, 26880, Lyric_t, "hon"
2, 27120, Lyric_t, "ey"
2, 27124, Lyric_t, "\015"
2, 28320, Lyric_t, "Just "
2, 28560, Lyric_t, "to "
2, 28800, Lyric_t, "make "
2, 29280, Lyric_t, "him "
2, 29760, Lyric_t, "sweet."
2, 29764, Lyric_t, "\015"
2, 30240, Lyric_t, "Crys"
2, 30480, Lyric_t, "tal "
2, 30720, Lyric_t, "ball"
2, 30960, Lyric_t, "in'"
2, 30964, Lyric_t, "\015"
2, 32160, Lyric_t, "Just "
2, 32400, Lyric_t, "to "
2, 32640, Lyric_t, "help "
2, 33120, Lyric_t, "him "
2, 33600, Lyric_t, "see"
2, 33604, Lyric_t, "\015"
2, 33840, Lyric_t, "What "
2, 34080, Lyric_t, "he's "
2, 34320, Lyric_t, "been "
2, 34560, Lyric_t, "miss"
2, 34800, Lyric_t, "in'"
2, 34804, Lyric_t, "\015"
2, 35760, Lyric_t, "So "
2, 36000, Lyric_t, "come "
2, 36240, Lyric_t, "and "
2, 36480, Lyric_t, "get "
2, 36720, Lyric_t, "it"
2, 36724, Lyric_t, "\015"
2, 37200, Lyric_t, "While "
2, 37314, Lyric_t, "you've "
2, 37440, Lyric_t, "still "
2, 37800, Lyric_t, "got "
2, 38160, Lyric_t, "time."
2, 38164, Lyric_t, "\015"
2, 39840, Lyric_t, "Hey!"
2, 39844, Lyric_t, "\015"
2, 42000, Lyric_t, "Get "
2, 42120, Lyric_t, "your "
2, 42240, Lyric_t, "boy "
2, 42480, Lyric_t, "on "
2, 42600, Lyric_t, "his "
2, 42720, Lyric_t, "knees"
2, 42724, Lyric_t, "\015"
2, 42960, Lyric_t, "And "
2, 43080, Lyric_t, "re"
2, 43200, Lyric_t, "peat "
2, 43440, Lyric_t, "af"
2, 43560, Lyric_t, "ter "
2, 43680, Lyric_t, "me "
2, 44160, Lyric_t, "say:"
2, 44164, Lyric_t, "\015"
2, 46320, Lyric_t, "Take "
2, 46440, Lyric_t, "a "
2, 46560, Lyric_t, "sip "
2, 46800, Lyric_t, "of "
2, 46920, Lyric_t, "my "
2, 47040, Lyric_t, "se"
2, 47280, Lyric_t, "cret "
2, 47520, Lyric_t, "po"
2, 47760, Lyric_t, "tion."
2, 47764, Lyric_t, "\015"
2, 48240, Lyric_t, "I'll "
2, 48480, Lyric_t, "make "
2, 48720, Lyric_t, "you "
2, 48960, Lyric_t, "fall "
2, 49200, Lyric_t, "in "
2, 49440, Lyric_t, "love."
2, 49444, Lyric_t, "\015"
2, 50160, Lyric_t, "For "
2, 50280, Lyric_t, "a "
2, 50400, Lyric_t, "spell "
2, 50640, Lyric_t, "that "
2, 50880, Lyric_t, "can't "
2, 51120, Lyric_t, "be "
2, 51360, Lyric_t, "bro"
2, 51600, Lyric_t, "ken"
2, 51604, Lyric_t, "\015"
2, 52080, Lyric_t, "One "
2, 52320, Lyric_t, "drop "
2, 52560, Lyric_t, "should "
2, 52800, Lyric_t, "be "
2, 53040, Lyric_t, "e"
2, 53280, Lyric_t, "nough."
2, 53284, Lyric_t, "\015"
2, 54000, Lyric_t, "Boy "
2, 54240, Lyric_t, "you "
2, 54480, Lyric_t, "be"
2, 54720, Lyric_t, "long "
2, 54960, Lyric_t, "to "
2, 55200, Lyric_t, "me."
2, 55204, Lyric_t, "\015"
2, 55920, Lyric_t, "I "
2, 56160, Lyric_t, "got "
2, 56400, Lyric_t, "the "
2, 56640, Lyric_t, "rec"
2, 56880, Lyric_t, "i"
2, 57120, Lyric_t, "pe"
2, 57124, Lyric_t, "\015"
2, 57360, Lyric_t, "And "
2, 57480, Lyric_t, "it's "
2, 57600, Lyric_t, "called "
2, 57960, Lyric_t, "black "
2, 58320, Lyric_t, "mag"
2, 58800, Lyric_t, "ic"
2, 58804, Lyric_t, "\015"
2, 59280, Lyric_t, "(And "
2, 59400, Lyric_t, "it's "
2, 59520, Lyric_t, "called "
2, 59880, Lyric_t, "black "
2, 60240, Lyric_t, "mag"
2, 60720, Lyric_t, "ic.)"
2, 60724, Lyric_t, "\015"
2, 61680, Lyric_t, "Take "
2, 61800, Lyric_t, "a "
2, 61920, Lyric_t, "sip "
2, 62160, Lyric_t, "of "
2, 62280, Lyric_t, "my "
2, 62400, Lyric_t, "se"
2, 62640, Lyric_t, "cret "
2, 62880, Lyric_t, "po"
2, 63120, Lyric_t, "tion."
2, 63124, Lyric_t, "\015"
2, 63600, Lyric_t, "One "
2, 63840, Lyric_t, "taste "
2, 64080, Lyric_t, "and "
2, 64320, Lyric_t, "you'll "
2, 64560, Lyric_t, "be "
2, 64800, Lyric_t, "mine."
2, 64804, Lyric_t, "\015"
2, 65520, Lyric_t, "It's "
2, 65640, Lyric_t, "a "
2, 65760, Lyric_t, "spell "
2, 66000, Lyric_t, "that "
2, 66240, Lyric_t, "can't "
2, 66480, Lyric_t, "be "
2, 66720, Lyric_t, "bro"
2, 66960, Lyric_t, "ken."
2, 66964, Lyric_t, "\015"
2, 67440, Lyric_t, "It"
2, 67560, Lyric_t, "'ll "
2, 67680, Lyric_t, "keep "
2, 67920, Lyric_t, "you "
2, 68160, Lyric_t, "up "
2, 68400, Lyric_t, "all "
2, 68640, Lyric_t, "night."
2, 68644, Lyric_t, "\015"
2, 69360, Lyric_t, "Boy "
2, 69600, Lyric_t, "you "
2, 69840, Lyric_t, "be"
2, 70080, Lyric_t, "long "
2, 70320, Lyric_t, "to "
2, 70560, Lyric_t, "me."
2, 70564, Lyric_t, "\015"
2, 71280, Lyric_t, "I "
2, 71520, Lyric_t, "got "
2, 71760, Lyric_t, "the "
2, 72000, Lyric_t, "rec"
2, 72240, Lyric_t, "i"
2, 72480, Lyric_t, "pe"
2, 72484, Lyric_t, "\015"
2, 72720, Lyric_t, "And "
2, 72840, Lyric_t, "it's "
2, 72960, Lyric_t, "called "
2, 73320, Lyric_t, "black "
2, 73680, Lyric_t, "mag"
2, 74160, Lyric_t, "ic"
2, 74164, Lyric_t, "\015"
2, 74640, Lyric_t, "(And "
2, 74760, Lyric_t, "it's "
2, 74880, Lyric_t, "called "
2, 75240, Lyric_t, "black "
2, 75600, Lyric_t, "mag"
2, 76080, Lyric_t, "ic.)"
2, 76084, Lyric_t, "\015"
2, 76320, Lyric_t, "If "
2, 76560, Lyric_t, "you're "
2, 76800, Lyric_t, "look"
2, 77040, Lyric_t, "in' "
2, 78480, Lyric_t, "for "
2, 78720, Lyric_t, "Mr. "
2, 79680, Lyric_t, "Right"
2, 79684, Lyric_t, "\015"
2, 80160, Lyric_t, "Need "
2, 80400, Lyric_t, "that "
2, 80640, Lyric_t, "mag"
2, 80880, Lyric_t, "ic"
2, 80884, Lyric_t, "\015"
2, 81840, Lyric_t, "To "
2, 82080, Lyric_t, "change "
2, 82320, Lyric_t, "him "
2, 82560, Lyric_t, "o"
2, 83040, Lyric_t, "ver "
2, 83520, Lyric_t, "night"
2, 83524, Lyric_t, "\015"
2, 84000, Lyric_t, "Here's "
2, 84240, Lyric_t, "the "
2, 84480, Lyric_t, "an"
2, 84720, Lyric_t, "swer."
2, 84724, Lyric_t, "\015"
2, 85920, Lyric_t, "Come "
2, 86160, Lyric_t, "and "
2, 86400, Lyric_t, "get "
2, 86640, Lyric_t, "it"
2, 86644, Lyric_t, "\015"
2, 87120, Lyric_t, "While "
2, 87245, Lyric_t, "you've "
2, 87360, Lyric_t, "still "
2, 87720, Lyric_t, "got "
2, 88080, Lyric_t, "time."
2, 88084, Lyric_t, "\015"
2, 89760, Lyric_t, "Hey!"
2, 89764, Lyric_t, "\015"
2, 91920, Lyric_t, "Get "
2, 92040, Lyric_t, "your "
2, 92160, Lyric_t, "boy "
2, 92400, Lyric_t, "on "
2, 92520, Lyric_t, "his "
2, 92640, Lyric_t, "knees"
2, 92644, Lyric_t, "\015"
2, 92880, Lyric_t, "And "
2, 93000, Lyric_t, "re"
2, 93120, Lyric_t, "peat "
2, 93360, Lyric_t, "af"
2, 93480, Lyric_t, "ter "
2, 93600, Lyric_t, "me "
2, 94080, Lyric_t, "say:"
2, 94084, Lyric_t, "\015"
2, 96240, Lyric_t, "Take "
2, 96360, Lyric_t, "a "
2, 96480, Lyric_t, "sip "
2, 96720, Lyric_t, "of "
2, 96840, Lyric_t, "my "
2, 96960, Lyric_t, "se"
2, 97200, Lyric_t, "cret "
2, 97440, Lyric_t, "po"
2, 97680, Lyric_t, "tion."
2, 97684, Lyric_t, "\015"
2, 98160, Lyric_t, "I'll "
2, 98400, Lyric_t, "make "
2, 98640, Lyric_t, "you "
2, 98880, Lyric_t, "fall "
2, 99120, Lyric_t, "in "
2, 99360, Lyric_t, "love."
2, 99364, Lyric_t, "\015"
2, 100080, Lyric_t, "For "
2, 100200, Lyric_t, "a "
2, 100320, Lyric_t, "spell "
2, 100560, Lyric_t, "that "
2, 100800, Lyric_t, "can't "
2, 101040, Lyric_t, "be "
2, 101280, Lyric_t, "bro"
2, 101520, Lyric_t, "ken"
2, 101524, Lyric_t, "\015"
2, 102000, Lyric_t, "One "
2, 102240, Lyric_t, "drop "
2, 102480, Lyric_t, "should "
2, 102720, Lyric_t, "be "
2, 102960, Lyric_t, "e"
2, 103200, Lyric_t, "nough."
2, 103204, Lyric_t, "\015"
2, 103920, Lyric_t, "Boy "
2, 104160, Lyric_t, "you "
2, 104400, Lyric_t, "be"
2, 104640, Lyric_t, "long "
2, 104880, Lyric_t, "to "
2, 105120, Lyric_t, "me."
2, 105124, Lyric_t, "\015"
2, 105840, Lyric_t, "I "
2, 106080, Lyric_t, "got "
2, 106320, Lyric_t, "the "
2, 106560, Lyric_t, "rec"
2, 106800, Lyric_t, "i"
2, 107040, Lyric_t, "pe"
2, 107044, Lyric_t, "\015"
2, 107280, Lyric_t, "And "
2, 107400, Lyric_t, "it's "
2, 107520, Lyric_t, "called "
2, 107880, Lyric_t, "black "
2, 108240, Lyric_t, "mag"
2, 108720, Lyric_t, "ic"
2, 108724, Lyric_t, "\015"
2, 109200, Lyric_t, "(And "
2, 109320, Lyric_t, "it's "
2, 109440, Lyric_t, "called "
2, 109800, Lyric_t, "black "
2, 110160, Lyric_t, "mag"
2, 110640, Lyric_t, "ic.)"
2, 110644, Lyric_t, "\015"
2, 111600, Lyric_t, "Take "
2, 111720, Lyric_t, "a "
2, 111840, Lyric_t, "sip "
2, 112080, Lyric_t, "of "
2, 112200, Lyric_t, "my "
2, 112320, Lyric_t, "se"
2, 112560, Lyric_t, "cret "
2, 112800, Lyric_t, "po"
2, 113040, Lyric_t, "tion."
2, 113044, Lyric_t, "\015"
2, 113520, Lyric_t, "One "
