0, 0, Header, 1, 26, 384
1, 0, Start_track
1, 0, Tempo, 600000
1, 0, Time_signature, 4, 2, 24, 8
1, 152064, End_track
2, 0, Start_track
2, 0, Channel_prefix, 9
2, 0, Title_t, "drummix"
2, 152064, End_track
3, 0, Start_track
3, 0, Channel_prefix, 1
3, 0, Title_t, "bass"
3, 152064, End_track
4, 0, Start_track
4, 0, Channel_prefix, 2
4, 0, Title_t, "piano"
4, 152064, End_track
5, 0, Start_track
5, 0, Channel_prefix, 3
5, 0, Title_t, "Vocal"
5, 152064, End_track
6, 0, Start_track
6, 0, Channel_prefix, 4
6, 0, Title_t, "chor"
6, 152064, End_track
7, 0, Start_track
7, 0, Channel_prefix, 5
7, 0, Title_t, "jazzguit"
7, 152064, End_track
8, 0, Start_track
8, 0, Channel_prefix, 6
8, 0, Title_t, "organ"
8, 152064, End_track
9, 0, Start_track
9, 0, Channel_prefix, 7
9, 0, Title_t, "distortion"
9, 152064, End_track
10, 0, Start_track
10, 0, Channel_prefix, 8
10, 0, Title_t, "string"
10, 152064, End_track
11, 0, Start_track
11, 0, Channel_prefix, 10
11, 0, Title_t, "sweep"
11, 152064, End_track
12, 0, Start_track
12, 0, Channel_prefix, 11
12, 0, Title_t, "saw"
12, 152064, End_track
13, 0, Start_track
13, 0, System_exclusive, 5, 126, 127, 9, 1, 247
13, 0, Title_t, "sysex"
13, 200, System_exclusive, 8, 67, 16, 76, 0, 0, 126, 0, 247
13, 152024, System_exclusive, 5, 126, 127, 9, 2, 247
13, 152064, End_track
14, 0, Start_track
14, 0, Title_t, ""
14, 0, Text_t, ""
14, 0, End_track
15, 0, Start_track
15, 0, Title_t, ""
15, 0, Text_t, ""
15, 0, Text_t, ""
15, 0, Text_t, "@TAnastacia"
15, 192, Text_t, ""
15, 192, Text_t, "/Anastacia"
15, 384, Text_t, ""
15, 2304, Text_t, "\\-"
15, 3522, Text_t, "Love "
15, 3640, Text_t, "is "
15, 3823, Text_t, "al"
15, 4030, Text_t, "ive "
15, 4121, Text_t, "Love "
15, 4218, Text_t, "is "
15, 4339, Text_t, "al"
15, 4424, Text_t, "ive "
15, 4964, Text_t, "yeah "
15, 5077, Text_t, "Love "
15, 5184, Text_t, "is "
15, 5281, Text_t, "al"
15, 5386, Text_t, "ive "
15, 5671, Text_t, "Love "
15, 5766, Text_t, "is "
15, 5878, Text_t, "al"
15, 5908, Text_t, "ive "
15, 6182, Text_t, "yeah"
15, 8685, Text_t, "/Yeah "
15, 9005, Text_t, "yeah "
15, 9761, Text_t, "Whooooo "
15, 11130, Text_t, "Yeah "
15, 11527, Text_t, "yeah "
15, 11885, Text_t, "yeah "
15, 12257, Text_t, "yeah"
15, 19584, Text_t, "/When "
15, 19776, Text_t, "I "
15, 19968, Text_t, "think "
15, 20180, Text_t, "that "
15, 20385, Text_t, "its "
15, 20544, Text_t, "time "
15, 20928, Text_t, "to "
15, 21120, Text_t, "get "
15, 21312, Text_t, "rea"
15, 21504, Text_t, "dy"
15, 22848, Text_t, "\\To "
15, 23040, Text_t, "re"
15, 23232, Text_t, "al"
15, 23424, Text_t, "ize "
15, 23616, Text_t, "just "
15, 23711, Text_t, "what "
15, 24000, Text_t, "I "
15, 24192, Text_t, "have "
15, 24384, Text_t, "found"
15, 25758, Text_t, "/I "
15, 26112, Text_t, "have "
15, 26219, Text_t, "been "
15, 26496, Text_t, "on"
15, 26784, Text_t, "ly "
15, 26910, Text_t, "half "
15, 27072, Text_t, "of "
15, 27264, Text_t, "what "
15, 27456, Text_t, "I "
15, 27840, Text_t, "am"
15, 28757, Text_t, "/Its "
15, 29184, Text_t, "all "
15, 29376, Text_t, "clear "
15, 29760, Text_t, "to "
15, 30144, Text_t, "me "
15, 30336, Text_t, "know"
15, 32640, Text_t, "\\My "
15, 32832, Text_t, "heart "
15, 33216, Text_t, "is "
15, 33408, Text_t, "on "
15, 33600, Text_t, "fi"
15, 33984, Text_t, "re "
15, 35712, Text_t, "My "
15, 35904, Text_t, "souls "
15, 36288, Text_t, "like "
15, 36480, Text_t, "a "
15, 36672, Text_t, "wheel "
15, 37056, Text_t, "thats "
15, 37440, Text_t, "turn"
15, 37824, Text_t, "ing"
15, 38784, Text_t, "/My "
15, 38976, Text_t, "love "
15, 39360, Text_t, "is "
15, 39552, Text_t, "al"
15, 39744, Text_t, "ive "
15, 41856, Text_t, "My "
15, 42048, Text_t, "love "
15, 42432, Text_t, "is "
15, 42624, Text_t, "al"
15, 42816, Text_t, "ive "
15, 45131, Text_t, "Yeah "
15, 45492, Text_t, "yeah "
15, 45864, Text_t, "yeah"
15, 46703, Text_t, "/Whooooo "
15, 47394, Text_t, "Yeah"
15, 50304, Text_t, "\\Well "
15, 50496, Text_t, "theres "
15, 50688, Text_t, "Some"
15, 50887, Text_t, "thing "
15, 51066, Text_t, "in"
15, 51264, Text_t, "side "
15, 51648, Text_t, "thats "
15, 51840, Text_t, "makin "
15, 52032, Text_t, "me "
15, 52224, Text_t, "crazy"
15, 53568, Text_t, "/I "
15, 53760, Text_t, "try "
15, 53952, Text_t, "to "
15, 54144, Text_t, "keep "
15, 54336, Text_t, "me "
15, 54488, Text_t, "to"
15, 54720, Text_t, "geth"
15, 55104, Text_t, "er "
15, 56640, Text_t, "Cause "
15, 56832, Text_t, "baby "
15, 57004, Text_t, "what "
15, 57216, Text_t, "I "
15, 57377, Text_t, "think"
15, 57504, Text_t, "/May "
15, 57792, Text_t, "not "
15, 57984, Text_t, "hap"
15, 58176, Text_t, "pen "
15, 59712, Text_t, "that "
15, 59904, Text_t, "way "
15, 60002, Text_t, "Now "
15, 60096, Text_t, "I "
15, 60288, Text_t, "could "
15, 60480, Text_t, "be "
15, 60593, Text_t, "for"
15, 60864, Text_t, "ev"
15, 61056, Text_t, "er "
15, 61248, Text_t, "and "
15, 61350, Text_t, "ev"
15, 61636, Text_t, "er"
15, 63360, Text_t, "\\My "
15, 63552, Text_t, "heart "
15, 63936, Text_t, "is "
15, 64128, Text_t, "on "
15, 64320, Text_t, "fi"
15, 64704, Text_t, "re "
15, 66432, Text_t, "My "
15, 66624, Text_t, "souls "
15, 67008, Text_t, "like "
15, 67200, Text_t, "a "
15, 67392, Text_t, "wheel "
15, 67776, Text_t, "thats "
15, 68160, Text_t, "turn"
15, 68544, Text_t, "ing"
15, 69504, Text_t, "/My "
15, 69696, Text_t, "love "
15, 70080, Text_t, "is "
15, 70272, Text_t, "al"
15, 70464, Text_t, "ive "
15, 70848, Text_t, "My "
15, 72768, Text_t, "love "
15, 73152, Text_t, "is "
15, 73344, Text_t, "al"
15, 73536, Text_t, "ive"
15, 76130, Text_t, "/I "
15, 76271, Text_t, "can "
15, 76424, Text_t, "sur"
15, 76578, Text_t, "vive "
15, 76732, Text_t, "My "
15, 77013, Text_t, "love "
15, 77155, Text_t, "is "
15, 77284, Text_t, "al"
15, 77439, Text_t, "ive "
15, 78374, Text_t, "Uh "
15, 78566, Text_t, "yeah "
15, 78899, Text_t, "uh "
15, 79103, Text_t, "yeah "
15, 79334, Text_t, "Uh"
15, 81532, Text_t, "\\Feel "
15, 81724, Text_t, "so "
15, 81903, Text_t, "al"
15, 82082, Text_t, "ive "
15, 82709, Text_t, "yeah "
15, 83108, Text_t, "yeah "
15, 83876, Text_t, "Whooooo "
15, 99456, Text_t, "Yeah"
15, 99648, Text_t, "/Theres "
