0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "From the Film - ""Love Story""."
1, 0, Tempo, 750000
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 11520, Time_signature, 2, 2, 24, 8
1, 12480, Time_signature, 4, 2, 24, 8
1, 112320, Tempo, 769231
1, 112800, Tempo, 779221
1, 113040, Tempo, 800000
1, 113280, Tempo, 833333
1, 113760, Tempo, 895522
1, 114240, Tempo, 967742
1, 114720, Tempo, 1276596
1, 115200, Tempo, 750000
1, 115200, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TLove Story - Andy Williams."
3, 0, Text_t, "@TKar - Bunty Pritchard Jones. Apr.2000."
3, 16320, Text_t, "\\Where"
3, 16560, Text_t, " do"
3, 16800, Text_t, " I"
3, 17040, Text_t, " be"
3, 17280, Text_t, "gin,"
3, 18480, Text_t, "/To"
3, 18720, Text_t, " tell"
3, 18960, Text_t, " the"
3, 19200, Text_t, " sto"
3, 19440, Text_t, "ry"
3, 19680, Text_t, " of"
3, 19920, Text_t, " how"
3, 20160, Text_t, " great"
3, 20400, Text_t, " a"
3, 20640, Text_t, " love"
3, 20880, Text_t, " can"
3, 21120, Text_t, " be?"
3, 22320, Text_t, "\\The"
3, 22560, Text_t, " sweet"
3, 22800, Text_t, " love"
3, 23040, Text_t, " sto"
3, 23280, Text_t, "ry,"
3, 23520, Text_t, " that"
3, 23760, Text_t, " is"
3, 24000, Text_t, " old"
3, 24240, Text_t, "er"
3, 24480, Text_t, " than"
3, 24720, Text_t, " the"
3, 24960, Text_t, " sea,"
3, 26160, Text_t, "/The"
3, 26400, Text_t, " sim"
3, 26640, Text_t, "ple"
3, 26880, Text_t, " truth"
3, 27120, Text_t, " a"
3, 27360, Text_t, "bout"
3, 27600, Text_t, " the"
3, 27840, Text_t, " love"
3, 28080, Text_t, " she"
3, 28320, Text_t, " brings"
3, 28560, Text_t, " to"
3, 28800, Text_t, " me."
3, 30480, Text_t, "/Where"
3, 30720, Text_t, " do"
3, 31200, Text_t, " I"
3, 31680, Text_t, " start?"
3, 35520, Text_t, "\\With"
3, 35760, Text_t, " her"
3, 36000, Text_t, " first"
3, 36240, Text_t, " hel"
3, 36480, Text_t, "lo,"
3, 37680, Text_t, "/She"
3, 37920, Text_t, " gave"
3, 38160, Text_t, " new"
3, 38400, Text_t, " mean"
3, 38640, Text_t, "ing"
