0, 0, Header, 1, 19, 240
1, 0, Start_track
1, 0, Title_t, "Mon Rêve de Toujours"
1, 0, Copyright_t, "Copyright © 1996 by Eric J. Lee."
1, 0, Text_t, "Eddy Marnay, Jean-Pierre Goussaud, Celine Dion\012"
1, 0, Text_t, "Began 8-18-96\012"
1, 0, Text_t, "This is my second favorite Celine Dion song of all time!  This little arrangement is nowhere near as beautiful as the actual song, but maybe someday I'll be able to do better.\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, MIDI_port, 0
1, 0, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 952381
1, 3840, Marker_t, "Verse 1"
1, 9600, Marker_t, "Verse 2"
1, 17280, Marker_t, "Chorus 1"
1, 26880, Marker_t, "Verse 3"
1, 34560, Marker_t, "Chorus 2"
1, 44160, Marker_t, "Chorus 3"
1, 51840, Marker_t, "Finale"
1, 63360, Marker_t, "Fade"
1, 63360, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LFrench"
3, 0, Text_t, "@TMon rêve de toujours"
3, 0, Text_t, "@TCéline Dion"
3, 0, Text_t, "@TKaraoké By Je@n-Mi"
3, 3840, Text_t, "\\Sur"
3, 4020, Text_t, " u"
3, 4200, Text_t, "ne"
3, 4320, Text_t, " pla"
3, 4500, Text_t, "ge,"
3, 4920, Text_t, " tout"
3, 4980, Text_t, " en"
3, 5160, Text_t, " nu"
3, 5280, Text_t, "a"
3, 5460, Text_t, "ges"
3, 5880, Text_t, "/Je"
3, 5940, Text_t, " cou"
3, 6060, Text_t, "rais,"
3, 6360, Text_t, " je"
3, 6420, Text_t, " cou"
3, 6540, Text_t, "rais"
3, 6835, Text_t, "/Et"
3, 6959, Text_t, " j'en"
3, 7020, Text_t, "ten"
3, 7200, Text_t, "dais"
3, 7260, Text_t, " cri"
3, 7379, Text_t, "er"
3, 7560, Text_t, "/Le"
3, 7683, Text_t, " vent,"
3, 7801, Text_t, " la"
3, 7862, Text_t, " mer"
3, 7974, Text_t, " et"
3, 8160, Text_t, " les"
3, 8267, Text_t, " o"
3, 8332, Text_t, "ra"
3, 8438, Text_t, "ges"
3, 8640, Text_t, "/Tout"
3, 8735, Text_t, " au"
3, 8808, Text_t, "tour"
3, 8926, Text_t, " de"
3, 9052, Text_t, " moi"
3, 9600, Text_t, "\\Con"
3, 9780, Text_t, "tre"
3, 9960, Text_t, " les"
3, 10080, Text_t, " va"
3, 10260, Text_t, "gues,"
3, 10680, Text_t, " con"
3, 10740, Text_t, "tre"
3, 10920, Text_t, " mes"
3, 11040, Text_t, " lar"
3, 11220, Text_t, "mes"
3, 11640, Text_t, "/Je"
