0, 0, Header, 1, 9, 9600
1, 0, Start_track
1, 0, SMPTE_offset, 96, 0, 0, 0, 0
1, 0, Tempo, 349516
1, 883200, Marker_t, "Rough Boys Verse 1"
1, 1075200, Tempo, 347826
1, 1497600, Marker_t, "guitar"
1, 1689600, Marker_t, "A maj"
1, 1843200, Marker_t, "Verse2"
1, 2649600, Tempo, 349854
1, 2649907, Marker_t, "Bridge Half Time A-A7sus4"
1, 3225600, Tempo, 347826
1, 3264000, Marker_t, "A with lead guitar"
1, 3456000, Tempo, 346821
1, 3571200, Marker_t, "verse3"
1, 4185600, Marker_t, "D"
1, 4185600, Tempo, 350877
1, 4310400, Tempo, 348837
1, 4339200, Marker_t, "D descending A7 sus4"
1, 4684800, Tempo, 346821
1, 4876800, Marker_t, "verse4"
1, 5299200, Tempo, 349854
1, 5486400, Marker_t, "D Major"
1, 5716800, Marker_t, "dischord"
1, 5990400, Tempo, 347826
1, 6062400, Marker_t, "climb"
1, 6681600, Marker_t, "Find"
1, 6681600, End_track
2, 0, Start_track
2, 0, Title_t, "drums"
2, 0, Instrument_name_t, "PSR-520"
2, 0, Program_c, 9, 0
2, 0, Control_c, 9, 7, 93
2, 0, Note_on_c, 9, 44, 110
2, 9600, Note_on_c, 9, 44, 0
2, 38400, Control_c, 9, 91, 57
2, 38400, Note_on_c, 9, 44, 110
2, 43200, Note_on_c, 9, 44, 0
2, 77334, Note_on_c, 9, 44, 110
2, 80337, Note_on_c, 9, 44, 0
2, 100800, Note_on_c, 9, 36, 89
2, 105600, Note_on_c, 9, 36, 0
2, 105600, Note_on_c, 9, 40, 127
2, 105600, Note_on_c, 9, 43, 127
2, 109595, Note_on_c, 9, 40, 0
2, 110400, Note_on_c, 9, 43, 0
2, 115200, Note_on_c, 9, 49, 127
2, 115200, Note_on_c, 9, 44, 117
2, 115200, Note_on_c, 9, 36, 90
2, 120000, Note_on_c, 9, 44, 0
2, 120000, Note_on_c, 9, 36, 0
2, 121711, Note_on_c, 9, 49, 0
2, 134400, Note_on_c, 9, 44, 117
2, 139200, Note_on_c, 9, 44, 0
2, 153600, Note_on_c, 9, 44, 117
2, 158400, Note_on_c, 9, 44, 0
2, 172800, Note_on_c, 9, 44, 117
2, 177600, Note_on_c, 9, 44, 0
2, 192000, Note_on_c, 9, 44, 117
2, 196800, Note_on_c, 9, 44, 0
2, 211200, Note_on_c, 9, 44, 117
2, 216000, Note_on_c, 9, 44, 0
2, 220800, Note_on_c, 9, 47, 117
2, 220800, Note_on_c, 9, 45, 118
2, 223234, Note_on_c, 9, 45, 0
2, 223492, Note_on_c, 9, 47, 0
2, 239993, Note_on_c, 9, 45, 118
2, 240000, Note_on_c, 9, 43, 127
2, 242347, Note_on_c, 9, 45, 0
2, 242353, Note_on_c, 9, 43, 0
2, 254400, Note_on_c, 9, 41, 127
2, 254400, Note_on_c, 9, 43, 127
2, 256223, Note_on_c, 9, 43, 0
2, 259200, Note_on_c, 9, 41, 0
2, 259200, Note_on_c, 9, 41, 127
2, 259200, Note_on_c, 9, 45, 118
2, 264000, Note_on_c, 9, 41, 0
2, 264000, Note_on_c, 9, 45, 0
2, 268800, Note_on_c, 9, 49, 127
2, 268800, Note_on_c, 9, 44, 117
2, 268800, Note_on_c, 9, 36, 90
2, 271138, Note_on_c, 9, 49, 0
2, 273600, Note_on_c, 9, 44, 0
2, 273600, Note_on_c, 9, 36, 0
2, 288000, Note_on_c, 9, 44, 117
2, 292800, Note_on_c, 9, 44, 0
2, 307200, Note_on_c, 9, 44, 117
2, 312000, Note_on_c, 9, 44, 0
2, 326400, Note_on_c, 9, 44, 117
2, 331200, Note_on_c, 9, 44, 0
2, 345600, Note_on_c, 9, 44, 117
2, 350400, Note_on_c, 9, 44, 0
2, 364800, Note_on_c, 9, 44, 117
2, 369600, Note_on_c, 9, 44, 0
2, 384000, Note_on_c, 9, 45, 118
2, 384000, Note_on_c, 9, 47, 117
2, 388800, Note_on_c, 9, 45, 0
2, 388800, Note_on_c, 9, 47, 0
2, 398128, Note_on_c, 9, 47, 117
2, 398130, Note_on_c, 9, 45, 118
2, 401277, Note_on_c, 9, 47, 0
