0, 0, Header, 0, 1, 480
1, 0, Start_track
1, 0, Title_t, "SADEYES "
1, 0, Copyright_t, " "
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 521730
1, 0, Text_t, "SADEYES \000\000"
1, 0, Text_t, "SynBass2\000\000"
1, 0, Text_t, "Slow Str\000\000"
1, 0, Text_t, "Melody  \000\000"
1, 0, Text_t, "Choir Ah\000\000"
1, 0, Text_t, "Rev.Cymb\000\000"
1, 0, Text_t, "Clean Gt\000\000"
1, 0, Text_t, "Clean Gt\000\000"
1, 0, Text_t, "Steel Gt\000\000"
1, 0, Text_t, "Drums   \000\000"
1, 0, Text_t, "Empty   \000\000"
1, 0, Text_t, "Vocalist\000\000"
1, 0, Lyric_t, "All rights reserved"
1, 0, Lyric_t, "\015"
1, 40, System_exclusive, 5, 126, 127, 9, 1, 247
1, 80, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 240, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 51, 80, 60, 247
1, 320, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 80, 59, 247
1, 480, Control_c, 1, 121, 0
1, 480, Control_c, 2, 121, 0
1, 480, Control_c, 3, 121, 0
1, 480, Control_c, 4, 121, 0
1, 480, Control_c, 5, 121, 0
1, 480, Control_c, 6, 121, 0
1, 480, Control_c, 7, 121, 0
1, 480, Control_c, 8, 121, 0
1, 480, Control_c, 9, 121, 0
1, 480, Control_c, 15, 121, 0
1, 610, Pitch_bend_c, 15, 8192
1, 660, Control_c, 15, 11, 127
1, 670, Control_c, 15, 7, 100
1, 680, Control_c, 15, 10, 64
1, 690, Control_c, 15, 91, 0
1, 700, Control_c, 15, 93, 0
1, 720, Control_c, 1, 11, 127
1, 720, Pitch_bend_c, 1, 8192
1, 720, Control_c, 3, 11, 127
1, 720, Pitch_bend_c, 3, 8192
1, 725, Control_c, 1, 7, 126
1, 730, Control_c, 1, 10, 64
1, 735, Control_c, 1, 91, 0
1, 745, Control_c, 1, 93, 46
1, 775, Control_c, 3, 7, 126
1, 780, Control_c, 3, 10, 46
1, 785, Control_c, 3, 91, 90
1, 785, Control_c, 15, 0, 0
