0, 0, Header, 1, 18, 384
1, 0, Start_track
1, 0, Title_t, "TELL HIM - Barbra Streisand & Celine Dion"
1, 0, Tempo, 800000
1, 0, Time_signature, 4, 2, 24, 8
1, 33, System_exclusive, 5, 126, 127, 9, 1, 247
1, 65, System_exclusive, 10, 65, 16, 66, 18, 64, 0, 127, 0, 65, 247
1, 193, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 51, 84, 56, 247
1, 257, System_exclusive, 10, 65, 16, 66, 18, 64, 1, 52, 88, 51, 247
1, 130560, Tempo, 833330
1, 130944, Tempo, 882350
1, 131328, Tempo, 937500
1, 131520, Tempo, 967740
1, 131520, End_track
2, 0, Start_track
2, 0, Title_t, "Soft Karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TTELL HIM"
3, 0, Text_t, "@TBarbra Streisand & Celine Dion"
3, 4705, Lyric_t, "\\I'm"
3, 5281, Lyric_t, " scared"
3, 6902, Lyric_t, " so"
3, 7099, Lyric_t, " a"
3, 7343, Lyric_t, "fraid"
3, 7569, Lyric_t, " to"
3, 7702, Lyric_t, " show"
3, 8068, Lyric_t, " I"
3, 8341, Lyric_t, " care."
3, 9796, Lyric_t, "/Will"
3, 10069, Lyric_t, " he"
3, 10182, Lyric_t, " think"
3, 10533, Lyric_t, " me"
3, 10727, Lyric_t, " weak"
3, 12851, Lyric_t, "/If"
3, 12868, Lyric_t, " I"
3, 13052, Lyric_t, " trem"
3, 13215, Lyric_t, "ble"
3, 13565, Lyric_t, " when"
3, 13717, Lyric_t, " I"
3, 13909, Lyric_t, " speak?"
3, 15790, Lyric_t, "\\O"
3, 16132, Lyric_t, "o"
3, 16439, Lyric_t, "o"
3, 16611, Lyric_t, "oh"
3, 16871, Lyric_t, " what"
3, 17517, Lyric_t, " if"
3, 18999, Lyric_t, " there's"
3, 19012, Lyric_t, " a"
3, 19241, Lyric_t, "no"
3, 19398, Lyric_t, "ther"
3, 19703, Lyric_t, " one"
3, 19712, Lyric_t, "/He's"
3, 19943, Lyric_t, " thin"
3, 20231, Lyric_t, "king"
3, 20356, Lyric_t, " of?"
3, 22370, Lyric_t, "/May"
3, 22470, Lyric_t, "be"
3, 22817, Lyric_t, " he's"
3, 22955, Lyric_t, " in"
3, 23179, Lyric_t, " love?"
3, 23783, Lyric_t, "\\I'd"
3, 23991, Lyric_t, " feel"
3, 24001, Lyric_t, " like"
3, 24329, Lyric_t, " a"
3, 24551, Lyric_t, " fool"
3, 25319, Lyric_t, "/Life"
3, 25527, Lyric_t, " can"
3, 25542, Lyric_t, " be"
3, 25863, Lyric_t, " so"
3, 26173, Lyric_t, " cruel."
3, 26692, Lyric_t, "/I"
3, 26909, Lyric_t, " don't"
3, 27078, Lyric_t, " know"
3, 27371, Lyric_t, " what"
3, 27547, Lyric_t, " to"
3, 27649, Lyric_t, " do."
3, 30625, Lyric_t, "\\I've"
3, 31291, Lyric_t, " been"
3, 31393, Lyric_t, " there"
3, 32806, Lyric_t, "/With"
3, 32836, Lyric_t, " my"
3, 33079, Lyric_t, " heart"
3, 33559, Lyric_t, " out"
3, 33761, Lyric_t, " in"
3, 33951, Lyric_t, " my"
3, 34180, Lyric_t, " hand."
3, 35895, Lyric_t, "/But"
3, 35908, Lyric_t, " what"
3, 36006, Lyric_t, " you"
3, 36283, Lyric_t, " must"
3, 36431, Lyric_t, " un"
3, 36719, Lyric_t, "der"
3, 36886, Lyric_t, "stand"
3, 37607, Lyric_t, "\\You"
3, 37815, Lyric_t, " can't"
3, 37985, Lyric_t, " let"
3, 38195, Lyric_t, " the"
3, 38209, Lyric_t, " chance"
3, 39120, Lyric_t, "/To"
3, 39203, Lyric_t, " love"
3, 39366, Lyric_t, " him"
3, 39557, Lyric_t, " pass"
3, 39835, Lyric_t, " you"
3, 40065, Lyric_t, " by."
3, 42913, Lyric_t, "/Tell"
3, 43681, Lyric_t, " him"
3, 44491, Lyric_t, "\\Tell"
3, 44733, Lyric_t, " him"
3, 44933, Lyric_t, " that"
3, 45124, Lyric_t, " the"
3, 45259, Lyric_t, " sun"
3, 45479, Lyric_t, " and"
3, 45701, Lyric_t, " moon"
3, 45893, Lyric_t, "/Rise"
3, 46049, Lyric_t, " in"
3, 46277, Lyric_t, " his"
3, 46469, Lyric_t, " eyes."
3, 47426, Lyric_t, "/Reach"
3, 47561, Lyric_t, " out"
3, 47805, Lyric_t, " to"
3, 48153, Lyric_t, " him"
3, 48911, Lyric_t, " and"
3, 49097, Lyric_t, " whis"
3, 49732, Lyric_t, "per"
3, 50635, Lyric_t, "\\Ten"
3, 50871, Lyric_t, "der"
3, 51063, Lyric_t, " words"
3, 51229, Lyric_t, " so"
3, 51431, Lyric_t, " soft"
3, 51599, Lyric_t, " and"
3, 51811, Lyric_t, " sweet."
3, 52037, Lyric_t, "/I'll"
3, 52226, Lyric_t, " hold"
3, 52585, Lyric_t, " him"
3, 52727, Lyric_t, " close"
3, 52804, Lyric_t, "/To"
3, 52988, Lyric_t, " feel"
3, 53181, Lyric_t, " his"
3, 53189, Lyric_t, " heart"
3, 53537, Lyric_t, " beat."
3, 53957, Lyric_t, "\\Love"
3, 54313, Lyric_t, " will"
3, 54455, Lyric_t, " be"
3, 54533, Lyric_t, " the"
3, 54713, Lyric_t, " gift"
3, 55260, Lyric_t, " you"
3, 55301, Lyric_t, " give"
3, 55493, Lyric_t, " your"
3, 55663, Lyric_t, "self."
3, 58756, Lyric_t, "/Touch"
3, 59137, Lyric_t, " him."
3, 60449, Lyric_t, "/With"
3, 60484, Lyric_t, " the"
3, 60677, Lyric_t, " gent"
3, 60869, Lyric_t, "le"
3, 61061, Lyric_t, "ness"
3, 61175, Lyric_t, " you"
3, 61365, Lyric_t, " feel"
3, 61815, Lyric_t, " in"
3, 61985, Lyric_t, "side."
3, 63556, Lyric_t, "\\Your"
3, 63749, Lyric_t, " love"
3, 63941, Lyric_t, " can't"
3, 64289, Lyric_t, " be"
3, 64471, Lyric_t, " de"
3, 64651, Lyric_t, "nied."
3, 65057, Lyric_t, "/The"
3, 65227, Lyric_t, " truth"
3, 65463, Lyric_t, " will"
3, 65607, Lyric_t, " set"
3, 65801, Lyric_t, " you"
3, 66017, Lyric_t, " free."
3, 66593, Lyric_t, "/You'll"
3, 66791, Lyric_t, " have"
3, 66999, Lyric_t, " what's"
3, 67013, Lyric_t, " meant"
3, 67335, Lyric_t, " to"
3, 67589, Lyric_t, " be."
3, 68357, Lyric_t, "\\All"
3, 68549, Lyric_t, " in"
3, 68741, Lyric_t, " time"
3, 68933, Lyric_t, " you'll"
3, 69125, Lyric_t, " see."
3, 71335, Lyric_t, "/Ooh"
3, 71809, Lyric_t, " I"
3, 72097, Lyric_t, " love"
3, 72576, Lyric_t, " him."
3, 73528, Lyric_t, " Then"
3, 73691, Lyric_t, " show"
3, 73925, Lyric_t, " him."
3, 74273, Lyric_t, "/Of"
3, 74308, Lyric_t, " that"
3, 74501, Lyric_t, " much"
3, 75031, Lyric_t, " I"
3, 75235, Lyric_t, " can"
3, 75423, Lyric_t, " be"
3, 75652, Lyric_t, " sure."
3, 76037, Lyric_t, "\\Hold"
3, 76229, Lyric_t, " him"
3, 76407, Lyric_t, " close"
3, 76613, Lyric_t, " to"
3, 76805, Lyric_t, " you."
3, 77345, Lyric_t, "/I"
3, 77380, Lyric_t, " don't"
3, 77478, Lyric_t, " think"
3, 77755, Lyric_t, " I"
3, 77903, Lyric_t, " could"
3, 78149, Lyric_t, " en"
3, 78341, Lyric_t, "dure"
3, 78881, Lyric_t, "/If"
3, 78917, Lyric_t, " I"
3, 79109, Lyric_t, " let"
3, 79287, Lyric_t, " him"
3, 79463, Lyric_t, " walk"
3, 79681, Lyric_t, " a"
3, 79847, Lyric_t, "way"
3, 80375, Lyric_t, "\\When"
3, 80573, Lyric_t, " I"
3, 80645, Lyric_t, " have"
3, 80837, Lyric_t, " so"
3, 81029, Lyric_t, " much"
3, 81221, Lyric_t, " to"
3, 81413, Lyric_t, " say."
3, 84404, Lyric_t, "/Tell"
3, 85217, Lyric_t, " him"
3, 85963, Lyric_t, "/Tell"
3, 86205, Lyric_t, " him"
3, 86405, Lyric_t, " that"
3, 86596, Lyric_t, " the"
3, 86731, Lyric_t, " sun"
3, 86951, Lyric_t, " and"
3, 87173, Lyric_t, " moon"
3, 87365, Lyric_t, "\\Rise"
3, 87521, Lyric_t, " in"
3, 87749, Lyric_t, " his"
3, 87941, Lyric_t, " eyes."
3, 88898, Lyric_t, "/Reach"
3, 89033, Lyric_t, " out"
3, 89277, Lyric_t, " to"
3, 89625, Lyric_t, " him"
3, 90383, Lyric_t, " and"
3, 90569, Lyric_t, " whis"
3, 91361, Lyric_t, "per"
3, 92107, Lyric_t, "/Ten"
3, 92343, Lyric_t, "der"
3, 92519, Lyric_t, " words"
3, 92701, Lyric_t, " so"
3, 92897, Lyric_t, " soft"
3, 93071, Lyric_t, " and"
3, 93283, Lyric_t, " sweet."
3, 93698, Lyric_t, "\\Hold"
3, 94069, Lyric_t, " him"
3, 94199, Lyric_t, " close"
3, 94276, Lyric_t, "/To"
3, 94433, Lyric_t, " feel"
3, 94653, Lyric_t, " his"
3, 94661, Lyric_t, " heart"
3, 95009, Lyric_t, " beat."
3, 95429, Lyric_t, "/Love"
3, 95777, Lyric_t, " will"
3, 95927, Lyric_t, " be"
3, 96005, Lyric_t, " the"
3, 96185, Lyric_t, " gift"
3, 96732, Lyric_t, " you"
3, 96773, Lyric_t, " give"
3, 96965, Lyric_t, " your"
3, 97135, Lyric_t, "self."
3, 98645, Lyric_t, "\\Love"
3, 98833, Lyric_t, " is"
3, 98977, Lyric_t, " light"
3, 99237, Lyric_t, " that"
3, 99269, Lyric_t, " sure"
3, 99458, Lyric_t, "ly"
3, 99653, Lyric_t, " glows"
3, 100421, Lyric_t, "/In the"
3, 100513, Lyric_t, " hearts"
3, 100789, Lyric_t, " of"
3, 100805, Lyric_t, " those"
3, 101145, Lyric_t, " who"
3, 101281, Lyric_t, " know."
3, 101921, Lyric_t, "/It's"
3, 101957, Lyric_t, " a"
3, 102049, Lyric_t, " stea"
3, 102325, Lyric_t, "dy"
3, 102341, Lyric_t, " flame"
3, 102689, Lyric_t, " that"
3, 102817, Lyric_t, " grows."
3, 104353, Lyric_t, "\\Feed"
3, 104629, Lyric_t, " the"
3, 104799, Lyric_t, " fire"
3, 105029, Lyric_t, " with"
3, 105121, Lyric_t, " all"
3, 105413, Lyric_t, " the"
3, 105513, Lyric_t, " pas"
3, 105761, Lyric_t, "sion"
3, 106287, Lyric_t, "/You"
3, 106565, Lyric_t, " can"
3, 106657, Lyric_t, " show."
3, 107253, Lyric_t, "/To"
3, 107425, Lyric_t, "night"
3, 107849, Lyric_t, " love"
3, 107908, Lyric_t, " will"
3, 108101, Lyric_t, " as"
3, 108193, Lyric_t, "sume"
3, 108433, Lyric_t, " it's"
3, 108485, Lyric_t, " place."
3, 108838, Lyric_t, "\\This"
3, 108961, Lyric_t, " mem'"
3, 109237, Lyric_t, "ry"
3, 109351, Lyric_t, " time"
3, 109595, Lyric_t, " can"
3, 109729, Lyric_t, "not"
3, 110005, Lyric_t, " e"
3, 110123, Lyric_t, "rase."
3, 110497, Lyric_t, "/Your"
3, 110743, Lyric_t, " faith"
3, 110925, Lyric_t, " will"
3, 111121, Lyric_t, " lead"
3, 111173, Lyric_t, " love"
3, 111365, Lyric_t, " where"
3, 111541, Lyric_t, " it"
3, 111653, Lyric_t, " has"
3, 111917, Lyric_t, " to"
3, 112133, Lyric_t, " go."
3, 113845, Lyric_t, "/Tell"
3, 114337, Lyric_t, " him"
3, 115105, Lyric_t, "\\Tell"
3, 115381, Lyric_t, " him"
3, 115589, Lyric_t, " that"
3, 115781, Lyric_t, " the"
3, 115873, Lyric_t, " sun"
3, 116135, Lyric_t, " and"
3, 116357, Lyric_t, " moon"
3, 116549, Lyric_t, "/Rise"
3, 116641, Lyric_t, " in"
3, 116933, Lyric_t, " his"
3, 117125, Lyric_t, " eyes."
3, 118082, Lyric_t, "/Reach"
3, 118177, Lyric_t, " out"
3, 118453, Lyric_t, " to"
3, 118809, Lyric_t, " him"
3, 119550, Lyric_t, " and"
3, 119729, Lyric_t, " whis"
3, 120481, Lyric_t, "per"
3, 121249, Lyric_t, "\\Whis"
3, 121525, Lyric_t, "per"
3, 121703, Lyric_t, " words"
3, 121885, Lyric_t, " so"
3, 122017, Lyric_t, " soft"
3, 122255, Lyric_t, " and"
3, 122467, Lyric_t, " sweet."
3, 122882, Lyric_t, "/I'll hold"
3, 123253, Lyric_t, " him"
3, 123383, Lyric_t, " close"
3, 123461, Lyric_t, " to"
3, 123553, Lyric_t, " feel"
3, 123829, Lyric_t, " his"
3, 123845, Lyric_t, " heart"
3, 124193, Lyric_t, " beat."
3, 124389, Lyric_t, "/Love"
3, 124681, Lyric_t, " will"
3, 124827, Lyric_t, " be"
3, 124961, Lyric_t, " the"
3, 125073, Lyric_t, " gift"
3, 125457, Lyric_t, " you"
3, 125649, Lyric_t, " give"
3, 125833, Lyric_t, " your"
3, 125976, Lyric_t, "self."
3, 128215, Lyric_t, "\\Ooh"
3, 128433, Lyric_t, " ooh"
3, 128638, Lyric_t, " ooh"
3, 128807, Lyric_t, " ooh"
3, 129046, Lyric_t, " ooh"
3, 129591, Lyric_t, " oh"
3, 129761, Lyric_t, " ooh"
3, 130572, Lyric_t, " ooh."
3, 131241, Lyric_t, "/Ne"
3, 131505, Lyric_t, "ver"
3, 131879, Lyric_t, " let"
3, 132065, Lyric_t, " him"
3, 132365, Lyric_t, " go..."
3, 132365, End_track
4, 0, Start_track
4, 385, Control_c, 1, 121, 0
4, 577, Control_c, 1, 11, 127
4, 673, Pitch_bend_c, 1, 8192
4, 795, Control_c, 1, 93, 58
4, 795, Control_c, 1, 91, 12
4, 795, Control_c, 1, 10, 64
4, 795, Control_c, 1, 7, 127
4, 1155, Control_c, 1, 0, 0
4, 1171, Program_c, 1, 35
4, 15744, Note_on_c, 1, 31, 88
4, 16887, Note_on_c, 1, 31, 0
4, 16896, Note_on_c, 1, 32, 86
4, 18209, Note_on_c, 1, 32, 0
4, 18240, Note_on_c, 1, 27, 90
4, 18419, Note_on_c, 1, 27, 0
4, 18432, Note_on_c, 1, 32, 86
4, 19745, Note_on_c, 1, 32, 0
4, 19776, Note_on_c, 1, 44, 83
4, 19955, Note_on_c, 1, 44, 0
4, 19968, Note_on_c, 1, 42, 86
4, 21281, Note_on_c, 1, 42, 0
4, 21312, Note_on_c, 1, 39, 83
4, 21491, Note_on_c, 1, 39, 0
4, 21504, Note_on_c, 1, 30, 86
4, 22817, Note_on_c, 1, 30, 0
4, 22848, Note_on_c, 1, 42, 83
4, 23027, Note_on_c, 1, 42, 0
4, 23040, Note_on_c, 1, 40, 86
4, 24353, Note_on_c, 1, 40, 0
4, 24384, Note_on_c, 1, 28, 83
4, 24563, Note_on_c, 1, 28, 0
4, 24576, Note_on_c, 1, 27, 86
4, 25327, Note_on_c, 1, 27, 0
4, 25344, Note_on_c, 1, 32, 86
4, 26095, Note_on_c, 1, 32, 0
4, 26112, Note_on_c, 1, 25, 86
4, 27631, Note_on_c, 1, 25, 0
4, 27648, Note_on_c, 1, 35, 86
4, 28967, Note_on_c, 1, 35, 0
4, 28992, Note_on_c, 1, 27, 83
4, 29171, Note_on_c, 1, 27, 0
4, 29184, Note_on_c, 1, 23, 86
4, 29935, Note_on_c, 1, 23, 0
4, 29952, Note_on_c, 1, 35, 86
4, 30301, Pitch_bend_c, 1, 7808
4, 30315, Pitch_bend_c, 1, 7552
4, 30341, Pitch_bend_c, 1, 7040
4, 30365, Pitch_bend_c, 1, 6656
4, 30379, Pitch_bend_c, 1, 6400
4, 30397, Pitch_bend_c, 1, 6272
4, 30411, Pitch_bend_c, 1, 6016
4, 30429, Pitch_bend_c, 1, 5760
4, 30449, Pitch_bend_c, 1, 5376
