0, 0, Header, 1, 15, 96
1, 0, Start_track
1, 0, Copyright_t, "(C)1993 Backbeat Studio"
1, 0, Key_signature, 0, "major"
1, 0, SMPTE_offset, 96, 0, 0, 0, 0
1, 0, Tempo, 472440
1, 0, Time_signature, 4, 2, 24, 8
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TTHAT'LL BE THE DAY"
3, 0, Text_t, "@TLinda Ronstadt"
3, 642, Text_t, "\\Well,"
3, 771, Text_t, " that"
3, 833, Text_t, "'ll"
3, 865, Text_t, " be"
3, 866, Text_t, " the"
3, 927, Text_t, " da"
3, 957, Text_t, "y,"
3, 1118, Text_t, "/When"
3, 1153, Text_t, " you"
3, 1214, Text_t, " say"
3, 1310, Text_t, " good"
3, 1345, Text_t, "by"
3, 1407, Text_t, "e"
3, 1530, Text_t, "\\That"
3, 1598, Text_t, "'ll"
3, 1631, Text_t, " be"
3, 1693, Text_t, " the"
3, 1726, Text_t, " day,"
3, 1890, Text_t, "/When"
3, 1923, Text_t, " you"
3, 1983, Text_t, " make"
3, 2078, Text_t, " me"
3, 2113, Text_t, " cr"
3, 2171, Text_t, "y"
3, 2274, Text_t, "\\You"
3, 2306, Text_t, " say"
3, 2367, Text_t, " you're"
3, 2397, Text_t, " gon"
3, 2463, Text_t, "na"
3, 2494, Text_t, " leave"
3, 2557, Text_t, " me,"
3, 2656, Text_t, "/You"
3, 2687, Text_t, " know"
3, 2750, Text_t, " that's"
3, 2784, Text_t, " a"
3, 2847, Text_t, " lie"
3, 2945, Text_t, " 'cause"
3, 3035, Text_t, "/That"
3, 3074, Text_t, "'ll"
3, 3134, Text_t, " be"
3, 3170, Text_t, " the"
3, 3230, Text_t, " d"
3, 3262, Text_t, "a"
3, 3327, Text_t, "y"
3, 3518, Text_t, " when"
3, 3551, Text_t, " I"
3, 3615, Text_t, " die"
3, 3714, Text_t, "\\Well,"
3, 3842, Text_t, " that"
3, 3904, Text_t, "'ll"
3, 3905, Text_t, " be"
3, 3999, Text_t, " the"
3, 4031, Text_t, " day,"
3, 4191, Text_t, "/When"
3, 4225, Text_t, " you"
3, 4287, Text_t, " say"
3, 4380, Text_t, " good"
3, 4417, Text_t, "by"
3, 4479, Text_t, "e"
3, 4602, Text_t, "\\That"
3, 4670, Text_t, "'ll"
3, 4703, Text_t, " be"
3, 4765, Text_t, " the"
3, 4798, Text_t, " day,"
3, 4962, Text_t, "/When"
3, 4993, Text_t, " you"
3, 5056, Text_t, " make"
3, 5150, Text_t, " me"
3, 5185, Text_t, " cr"
3, 5243, Text_t, "y"
3, 5347, Text_t, "\\You"
3, 5377, Text_t, " say"
3, 5440, Text_t, " you're"
3, 5470, Text_t, " gon"
3, 5535, Text_t, "na"
3, 5566, Text_t, " leave"
3, 5629, Text_t, " me,"
3, 5728, Text_t, "/You"
3, 5759, Text_t, " know"
3, 5823, Text_t, " that's"
3, 5857, Text_t, " a"
3, 5919, Text_t, " lie"
3, 6017, Text_t, " 'cause"
3, 6107, Text_t, "/That"
3, 6148, Text_t, "'ll"
3, 6206, Text_t, " be"
3, 6242, Text_t, " the"
3, 6302, Text_t, " d"
3, 6334, Text_t, "a"
3, 6399, Text_t, "y"
3, 6590, Text_t, " when"
3, 6623, Text_t, " I"
3, 6687, Text_t, " die"
3, 6784, Text_t, "\\Well,"
3, 6880, Text_t, " you"
3, 6913, Text_t, " gave"
3, 6975, Text_t, " me"
3, 7004, Text_t, " all"
3, 7070, Text_t, " your"
3, 7103, Text_t, " lov"
3, 7167, Text_t, "in'"
3, 7203, Text_t, "/And"
3, 7263, Text_t, " your"
3, 7361, Text_t, " tur"
3, 7459, Text_t, "tle"
3, 7489, Text_t, " dov"
3, 7552, Text_t, "in'"
3, 7651, Text_t, "\\All"
3, 7744, Text_t, " your"
3, 7776, Text_t, " hugs"
3, 7838, Text_t, " and"
3, 7870, Text_t, " kiss"
3, 7930, Text_t, "es"
3, 7969, Text_t, "/And"
3, 8032, Text_t, " your"
3, 8157, Text_t, " mo"
3, 8222, Text_t, "ney"
3, 8257, Text_t, " too"
3, 8508, Text_t, "\\You"
3, 8545, Text_t, " know"
3, 8607, Text_t, " you"
3, 8637, Text_t, " love"
3, 8701, Text_t, " me"
3, 8735, Text_t, " ba"
3, 8798, Text_t, "by,"
3, 8893, Text_t, "/Still"
3, 8928, Text_t, " you"
3, 8993, Text_t, " tell"
3, 9022, Text_t, " me,"
3, 9088, Text_t, " ba"
3, 9120, Text_t, "by"
3, 9215, Text_t, "/That"
3, 9311, Text_t, " some"
3, 9410, Text_t, " day,"
3, 9507, Text_t, " well,"
3, 9600, Text_t, " I'll"
3, 9696, Text_t, " be"
3, 9793, Text_t, " through"
3, 9858, Text_t, "\\Well,"
3, 9987, Text_t, " that"
3, 10049, Text_t, "'ll"
3, 10081, Text_t, " be"
3, 10144, Text_t, " the"
3, 10174, Text_t, " day,"
3, 10334, Text_t, "/When"
3, 10369, Text_t, " you"
3, 10431, Text_t, " say"
3, 10529, Text_t, " good"
3, 10561, Text_t, "by"
3, 10623, Text_t, "e"
3, 10746, Text_t, "\\That"
3, 10814, Text_t, "'ll"
3, 10847, Text_t, " be"
3, 10909, Text_t, " the"
3, 10942, Text_t, " day,"
3, 11106, Text_t, "/When"
3, 11137, Text_t, " you"
3, 11201, Text_t, " make"
3, 11294, Text_t, " me"
3, 11329, Text_t, " cr"
3, 11387, Text_t, "y"
3, 11491, Text_t, "\\You"
3, 11521, Text_t, " say"
3, 11584, Text_t, " you're"
3, 11614, Text_t, " gon"
3, 11679, Text_t, "na"
3, 11710, Text_t, " leave"
3, 11773, Text_t, " me,"
3, 11873, Text_t, "/You"
3, 11903, Text_t, " know"
3, 11967, Text_t, " that's"
3, 12000, Text_t, " a"
3, 12063, Text_t, " lie"
3, 12161, Text_t, " 'cause"
3, 12251, Text_t, "/That"
3, 12350, Text_t, "'ll"
3, 12386, Text_t, " be"
3, 12446, Text_t, " the"
3, 12478, Text_t, " d"
3, 12543, Text_t, "a"
3, 12636, Text_t, "y"
3, 12734, Text_t, " when"
3, 12767, Text_t, " I"
3, 12834, Text_t, " die"
3, 19263, Text_t, "\\When"
3, 19299, Text_t, " Cu"
3, 19359, Text_t, "pid"
3, 19391, Text_t, " shot"
3, 19455, Text_t, " his"
3, 19491, Text_t, " dart,"
3, 19551, Text_t, "/He"
3, 19649, Text_t, " shot"
3, 19685, Text_t, " it"
3, 19778, Text_t, " at"
3, 19840, Text_t, " your"
3, 19873, Text_t, " hear"
3, 19936, Text_t, "t"
3, 20032, Text_t, "\\So"
3, 20064, Text_t, " if"
3, 20127, Text_t, " we"
3, 20158, Text_t, " e"
3, 20218, Text_t, "ver"
3, 20253, Text_t, " part,"
3, 20320, Text_t, "/And"
3, 20358, Text_t, " I"
3, 20448, Text_t, " leave"
3, 20547, Text_t, " you"
3, 20796, Text_t, "\\You"
3, 20835, Text_t, " kiss"
3, 20895, Text_t, " and"
3, 20925, Text_t, " hold"
3, 20989, Text_t, " me,"
3, 21023, Text_t, "/And"
3, 21087, Text_t, " you"
3, 21186, Text_t, " tell"
3, 21216, Text_t, " me"
3, 21281, Text_t, " bold"
3, 21310, Text_t, "ly,"
3, 21376, Text_t, " well"
3, 21503, Text_t, "/That"
3, 21599, Text_t, " some"
3, 21698, Text_t, " day,"
3, 21795, Text_t, " well,"
3, 21888, Text_t, " I'll"
3, 21983, Text_t, " be"
3, 22083, Text_t, " through"
3, 22146, Text_t, "\\Well,"
3, 22274, Text_t, " that"
3, 22337, Text_t, "'ll"
3, 22368, Text_t, " be"
3, 22431, Text_t, " the"
3, 22462, Text_t, " day,"
3, 22622, Text_t, "/When"
3, 22656, Text_t, " you"
3, 22719, Text_t, " say"
3, 22817, Text_t, " good"
3, 22849, Text_t, "by"
3, 22911, Text_t, "e"
3, 23034, Text_t, "\\That"
3, 23102, Text_t, "'ll"
3, 23135, Text_t, " be"
3, 23197, Text_t, " the"
3, 23230, Text_t, " day,"
3, 23394, Text_t, "/When"
3, 23425, Text_t, " you"
3, 23488, Text_t, " make"
3, 23553, Text_t, " me"
3, 23675, Text_t, " cr"
3, 23676, Text_t, "y"
3, 23778, Text_t, "\\You"
3, 23809, Text_t, " say"
3, 23872, Text_t, " you're"
3, 23902, Text_t, " gon"
3, 23967, Text_t, "na"
3, 23999, Text_t, " leave"
3, 24061, Text_t, " me,"
3, 24161, Text_t, "/You"
3, 24191, Text_t, " know"
3, 24255, Text_t, " that's"
3, 24289, Text_t, " a"
3, 24351, Text_t, " lie"
3, 24449, Text_t, " 'cause"
3, 24539, Text_t, "/That"
3, 24578, Text_t, "'ll"
3, 24674, Text_t, " be"
3, 24734, Text_t, " the"
3, 24766, Text_t, " d"
3, 24831, Text_t, "a"
3, 24924, Text_t, "y"
3, 25022, Text_t, " when"
3, 25056, Text_t, " I"
3, 25119, Text_t, " die"
3, 25218, Text_t, "\\Whoa,"
3, 25344, Text_t, " that"
3, 25409, Text_t, "'ll"
3, 25440, Text_t, " be"
3, 25441, Text_t, " the"
3, 25503, Text_t, " day,"
3, 25690, Text_t, " woo,"
3, 25887, Text_t, " woo-hoo"
